time_s,E_in_raw,E_in_norm,S_entropy,S_entropy_norm,C_ent_alpha,C_ent_alpha_norm,dQCI_dt,QCI,QCI_smooth
0.998000,0.000000,1.000000,0.549119,0.549119,0.781006,0.781006,1.231888,0.000000,0.417645
1.498000,0.000000,1.000000,0.517419,0.517419,0.702487,0.702487,1.123474,0.615944,0.541830
1.998000,0.000000,0.266144,0.668669,0.668669,0.513699,0.513699,-0.006594,1.177681,0.681481
2.498000,0.000000,0.270048,0.679623,0.679623,0.595135,0.595135,0.068122,1.174384,0.846586
2.998000,0.000000,0.230301,0.673768,0.673768,0.631109,0.631109,0.066798,1.208445,1.036249
3.498000,0.000000,0.421929,0.620596,0.620596,0.632198,0.632198,0.309346,1.241844,1.244961
3.998000,0.000000,0.591522,0.615594,0.615594,0.672790,0.672790,0.509066,1.396517,1.447933
4.498000,0.000000,0.612933,0.635602,0.635602,0.678919,0.678919,0.491146,1.651050,1.580298
4.998000,0.000000,0.473506,0.635854,0.635854,0.733008,0.733008,0.380998,1.896623,1.639261
5.498000,0.000000,0.261445,0.644973,0.644973,0.477445,0.477445,-0.114795,2.087122,1.682375
5.998000,0.000000,0.207406,0.671941,0.671941,0.487239,0.487239,-0.180269,2.029724,1.706234
6.498000,0.000000,0.123950,0.669215,0.669215,0.394668,0.394668,-0.344556,1.939590,1.717911
6.998000,0.000000,0.045454,0.663311,0.663311,0.471008,0.471008,-0.323580,1.767312,1.712126
7.498000,0.000000,0.047914,0.677986,0.677986,0.473646,0.473646,-0.316977,1.605522,1.684897
7.998000,0.000000,0.119419,0.696933,0.696933,0.545381,0.545381,-0.176836,1.447034,1.629703
8.498000,0.000000,0.161953,0.699229,0.699229,0.633236,0.633236,-0.039902,1.358616,1.549248
8.998000,0.000000,0.196148,0.686507,0.686507,0.704417,0.704417,0.080192,1.338665,1.462126
9.498000,0.000000,0.163964,0.656246,0.656246,0.562004,0.562004,-0.068154,1.378760,1.382324
9.998000,0.000000,0.127176,0.671724,0.671724,0.554804,0.554804,-0.124213,1.344683,1.317946
10.498000,0.000000,0.079200,0.687416,0.687416,0.488331,0.488331,-0.248143,1.282577,1.273807
10.998000,0.000000,0.173267,0.680446,0.680446,0.589147,0.589147,-0.033883,1.158505,1.244417
11.498000,0.000000,0.201616,0.683943,0.683943,0.560419,0.560419,-0.036064,1.141564,1.233286
11.998000,0.000000,0.212959,0.667118,0.667118,0.647707,0.647707,0.081195,1.123532,1.236975
12.498000,0.000000,0.157237,0.669481,0.669481,0.606682,0.606682,-0.021975,1.164129,1.263629
12.998000,0.000000,0.294447,0.661497,0.661497,0.670681,0.670681,0.188317,1.153142,1.320882
13.498000,0.000000,0.422743,0.676435,0.676435,0.634942,0.634942,0.256520,1.247300,1.414946
13.998000,0.000000,0.622256,0.654752,0.654752,0.709532,0.709532,0.539480,1.375560,1.531734
14.498000,0.000000,0.655034,0.652695,0.652695,0.706011,0.706011,0.543820,1.645300,1.661471
14.998000,0.000000,0.680276,0.649872,0.649872,0.773321,0.773321,0.612005,1.917211,1.811401
15.498000,0.000000,0.487058,0.685197,0.685197,0.626810,0.626810,0.206350,2.223213,1.997176
15.998000,0.000000,0.532570,0.683359,0.683359,0.608515,0.608515,0.225087,2.326388,2.230655
16.498000,0.000000,0.680791,0.671336,0.671336,0.602256,0.602256,0.367818,2.438931,2.498245
16.998000,0.000000,1.000000,0.649075,0.649075,0.709426,0.709426,0.798068,2.622840,2.793116
17.498000,0.000000,1.000000,0.553457,0.553457,0.787752,0.787752,0.932108,3.021874,3.065706
17.998000,0.000000,1.000000,0.539475,0.539475,0.758822,0.758822,0.870554,3.487928,3.330488
18.498000,0.000000,1.000000,0.536617,0.536617,0.731064,0.731064,0.802126,3.923205,3.580271
18.998000,0.000000,0.609928,0.640786,0.640786,0.557157,0.557157,0.093871,4.324268,3.825984
19.498000,0.000000,0.840430,0.603315,0.603315,0.587662,0.587662,0.387656,4.371204,4.042758
19.998000,0.000000,0.714811,0.619846,0.619846,0.673560,0.673560,0.312022,4.565032,4.235653
20.498000,0.000000,0.586246,0.636580,0.636580,0.647387,0.647387,0.124949,4.721043,4.392041
20.998000,0.000000,0.269241,0.684529,0.684529,0.539947,0.539947,-0.353692,4.783517,4.508852
21.498000,0.000000,0.431365,0.670001,0.670001,0.589533,0.589533,-0.109770,4.606671,4.572014
21.998000,0.000000,0.528696,0.662350,0.662350,0.656770,0.656770,0.067937,4.551786,4.574878
22.498000,0.000000,0.526746,0.662715,0.662715,0.735116,0.735116,0.140572,4.585754,4.550056
22.998000,0.000000,0.305646,0.677324,0.677324,0.634846,0.634846,-0.202435,4.656040,4.478893
23.498000,0.000000,0.257065,0.685800,0.685800,0.480393,0.480393,-0.403824,4.554823,4.370039
23.998000,0.000000,0.224221,0.708825,0.708825,0.460037,0.460037,-0.459858,4.352911,4.239018
24.498000,0.000000,0.186013,0.692795,0.692795,0.379925,0.379925,-0.539155,4.122982,4.119694
24.998000,0.000000,0.154527,0.704349,0.704349,0.493361,0.493361,-0.441801,3.853404,3.996728
25.498000,0.000000,0.169184,0.694899,0.694899,0.570575,0.570575,-0.318391,3.632504,3.858970
25.998000,0.000000,0.216166,0.688138,0.688138,0.699536,0.699536,-0.119767,3.473308,3.712202
26.498000,0.000000,0.241834,0.656685,0.656685,0.573602,0.573602,-0.182592,3.413425,3.580995
26.998000,0.000000,0.254587,0.665853,0.665853,0.515570,0.515570,-0.227908,3.322129,3.476113
27.498000,0.000000,0.375679,0.669767,0.669767,0.575274,0.575274,-0.039630,3.208175,3.380923
27.998000,0.000000,0.405944,0.673493,0.673493,0.695166,0.695166,0.108781,3.188360,3.302579
28.498000,0.000000,0.374871,0.671134,0.671134,0.743221,0.743221,0.122683,3.242750,3.247151
28.998000,0.000000,0.162149,0.701654,0.701654,0.603893,0.603893,-0.266021,3.304092,3.208441
29.498000,0.000000,0.195081,0.683054,0.683054,0.602850,0.602850,-0.202232,3.171081,3.169010
29.998000,0.000000,0.338562,0.669908,0.669908,0.654860,0.654860,0.016518,3.069965,3.129954
30.498000,0.000000,0.385296,0.669190,0.669190,0.607688,0.607688,0.015971,3.078224,3.100622
30.998000,0.000000,0.314379,0.658532,0.658532,0.518578,0.518578,-0.134196,3.086210,3.074389
31.498000,0.000000,0.297291,0.678590,0.678590,0.508129,0.508129,-0.175081,3.019112,3.034514
31.998000,0.000000,0.361072,0.663551,0.663551,0.562197,0.562197,-0.033440,2.931571,2.978020
32.498000,0.000000,0.447129,0.652518,0.652518,0.519233,0.519233,0.022358,2.914851,2.929199
32.998000,0.000000,0.284762,0.679229,0.679229,0.523023,0.523023,-0.164048,2.926030,2.912443
33.498000,0.000000,0.287325,0.693951,0.693951,0.481319,0.481319,-0.209707,2.844006,2.928141
33.998000,0.000000,0.336322,0.703342,0.703342,0.528358,0.528358,-0.112577,2.739153,2.973301
34.498000,0.000000,0.713416,0.665677,0.665677,0.659635,0.659635,0.439088,2.682864,3.036604
34.998000,0.000000,0.882715,0.632048,0.632048,0.705166,0.705166,0.665593,2.902408,3.104855
35.498000,0.000000,0.827876,0.621620,0.621620,0.722484,0.722484,0.605219,3.235204,3.167479
35.998000,0.000000,0.583794,0.625683,0.625683,0.624326,0.624326,0.228655,3.537814,3.228092
36.498000,0.000000,0.408955,0.683608,0.683608,0.563749,0.563749,-0.076117,3.652141,3.291285
36.998000,0.000000,0.406353,0.669850,0.669850,0.478902,0.478902,-0.146003,3.614083,3.367536
37.498000,0.000000,0.429866,0.667691,0.667691,0.574101,0.574101,-0.017832,3.541081,3.452607
37.998000,0.000000,0.427948,0.671604,0.671604,0.484420,0.484420,-0.112453,3.532165,3.517096
38.498000,0.000000,0.507864,0.672839,0.672839,0.564016,0.564016,0.051447,3.475939,3.534558
38.998000,0.000000,0.504178,0.668946,0.668946,0.578763,0.578763,0.063829,3.501662,3.512921
39.498000,0.000000,0.425069,0.695195,0.695195,0.650914,0.650914,0.027431,3.533577,3.479293
39.998000,0.000000,0.276541,0.724919,0.724919,0.528179,0.528179,-0.274928,3.547292,3.456792
40.498000,0.000000,0.351742,0.698951,0.698951,0.511424,0.511424,-0.176768,3.409828,3.434964
40.998000,0.000000,0.443378,0.649086,0.649086,0.526685,0.526685,-0.011168,3.321444,3.417290
41.498000,0.000000,0.514237,0.655766,0.655766,0.619528,0.619528,0.146413,3.315860,3.407061
41.998000,0.000000,0.325816,0.670309,0.670309,0.550873,0.550873,-0.132527,3.389066,3.401794
42.498000,0.000000,0.357425,0.660795,0.660795,0.700893,0.700893,0.065243,3.322803,3.400998
42.998000,0.000000,0.338765,0.677419,0.677419,0.710652,0.710652,0.036455,3.355424,3.410242
43.498000,0.000000,0.429893,0.675312,0.675312,0.733468,0.733468,0.150684,3.373652,3.446009
43.998000,0.000000,0.489250,0.659519,0.659519,0.668412,0.668412,0.153244,3.448994,3.524297
44.498000,0.000000,0.505373,0.651053,0.651053,0.726475,0.726475,0.228234,3.525615,3.636162
44.998000,0.000000,0.561479,0.635008,0.635008,0.693031,0.693031,0.255528,3.639732,3.769702
45.498000,0.000000,0.960706,0.625833,0.625833,0.715535,0.715535,0.673658,3.767496,3.896282
45.998000,0.000000,0.975738,0.602083,0.602083,0.697150,0.697150,0.660372,4.104326,4.010775
46.498000,0.000000,0.868900,0.630313,0.630313,0.784777,0.784777,0.579913,4.434512,4.122054
46.998000,0.000000,0.360873,0.690364,0.690364,0.530205,0.530205,-0.271733,4.724468,4.224025
47.498000,0.000000,0.432376,0.681448,0.681448,0.531428,0.531428,-0.176504,4.588602,4.322658
47.998000,0.000000,0.510626,0.677822,0.677822,0.589431,0.589431,-0.027800,4.500350,4.434944
48.498000,0.000000,0.525492,0.698037,0.698037,0.585692,0.585692,-0.035498,4.486450,4.563011
48.998000,0.000000,0.612244,0.705742,0.705742,0.626860,0.626860,0.086492,4.468701,4.682986
49.498000,0.000000,0.974382,0.663169,0.663169,0.641276,0.641276,0.501293,4.511947,4.763579
49.998000,0.000000,1.000000,0.622561,0.622561,0.669955,0.669955,0.571134,4.762593,4.795658
50.498000,0.000000,1.000000,0.617640,0.617640,0.634282,0.634282,0.511826,5.048161,4.811617
50.998000,0.000000,0.513638,0.653760,0.653760,0.543274,0.543274,-0.127255,5.304074,4.811366
51.498000,0.000000,0.277476,0.691290,0.691290,0.547475,0.547475,-0.390383,5.240446,4.791208
51.998000,0.000000,0.240690,0.730351,0.730351,0.400068,0.400068,-0.594119,5.045255,4.753792
52.498000,0.000000,0.299224,0.720626,0.720626,0.395507,0.395507,-0.500715,4.748195,4.688782
52.998000,0.000000,0.345276,0.724528,0.724528,0.403095,0.403095,-0.425940,4.497838,4.589514
53.498000,0.000000,0.275764,0.685157,0.685157,0.457228,0.457228,-0.380651,4.284868,4.451477
53.998000,0.000000,0.228377,0.688541,0.688541,0.404234,0.404234,-0.465384,4.094542,4.277370
54.498000,0.000000,0.366388,0.668784,0.668784,0.504699,0.504699,-0.183882,3.861850,4.093420
54.998000,0.000000,0.363030,0.679629,0.679629,0.489367,0.489367,-0.204222,3.769909,3.920482
55.498000,0.000000,0.334906,0.684080,0.684080,0.506360,0.506360,-0.209594,3.667798,3.789050
55.998000,0.000000,0.206211,0.703153,0.703153,0.529120,0.529120,-0.324122,3.563001,3.710048
56.498000,0.000000,0.278604,0.705819,0.705819,0.597186,0.597186,-0.170123,3.400940,3.682738
56.998000,0.000000,0.624837,0.663389,0.663389,0.606134,0.606134,0.235994,3.315879,3.701000
57.498000,0.000000,0.943395,0.634616,0.634616,0.582489,0.582489,0.547881,3.433876,3.763880
57.998000,0.000000,1.000000,0.629698,0.629698,0.608379,0.608379,0.607900,3.707816,3.850522
58.498000,0.000000,0.891111,0.646449,0.646449,0.687302,0.687302,0.530788,4.011766,3.959923
58.998000,0.000000,0.762398,0.652934,0.652934,0.745249,0.745249,0.426996,4.277160,4.092622
59.498000,0.000000,0.648543,0.643088,0.643088,0.734945,0.734945,0.291335,4.490658,4.263098
59.998000,0.000000,0.592486,0.663905,0.663905,0.786014,0.786014,0.250963,4.636325,4.468882
60.498000,0.000000,0.604664,0.662902,0.662902,0.790799,0.790799,0.256381,4.761807,4.680635
60.998000,0.000000,0.760307,0.660617,0.660617,0.820704,0.820704,0.431395,4.889997,4.882371
61.498000,0.000000,0.864623,0.650281,0.650281,0.832287,0.832287,0.536059,5.105694,5.071931
61.998000,0.000000,0.780435,0.651809,0.651809,0.764112,0.764112,0.355365,5.373724,5.261707
62.498000,0.000000,0.742791,0.622240,0.622240,0.782132,0.782132,0.347542,5.551406,5.459396
62.998000,0.000000,0.782469,0.623454,0.623454,0.777875,0.777875,0.364373,5.725177,5.666101
63.498000,0.000000,0.962464,0.584819,0.584819,0.748189,0.748189,0.535098,5.907364,5.887045
63.998000,0.000000,1.000000,0.557958,0.557958,0.760730,0.760730,0.585281,6.174913,6.107407
64.498000,0.000000,1.000000,0.586238,0.586238,0.704628,0.704628,0.471634,6.467553,6.315943
64.998000,0.000000,1.000000,0.591965,0.591965,0.798057,0.798057,0.535754,6.703370,6.476171
65.498000,0.000000,0.816273,0.625777,0.625777,0.751383,0.751383,0.244755,6.971248,6.599999
65.998000,0.000000,0.806138,0.658766,0.658766,0.756841,0.756841,0.194850,7.093625,6.689228
66.498000,0.000000,0.451760,0.734446,0.734446,0.571695,0.571695,-0.430096,7.191050,6.737965
66.998000,0.000000,0.612370,0.755927,0.755927,0.468527,0.468527,-0.372631,6.976002,6.737991
67.498000,0.000000,0.663457,0.739881,0.739881,0.410951,0.410951,-0.344442,6.789687,6.687433
67.998000,0.000000,0.503015,0.741168,0.741168,0.454448,0.454448,-0.445451,6.617466,6.597225
68.498000,0.000000,0.288928,0.735161,0.735161,0.646569,0.646569,-0.439139,6.394740,6.458000
68.998000,0.000000,0.305808,0.719327,0.719327,0.604643,0.604643,-0.426394,6.175171,6.295189
69.498000,0.000000,0.343625,0.697002,0.697002,0.628201,0.628201,-0.321373,5.961974,6.124570
69.998000,0.000000,0.287369,0.717283,0.717283,0.565462,0.565462,-0.444581,5.801287,5.974836
70.498000,0.000000,0.363704,0.638863,0.638863,0.606099,0.606099,-0.226961,5.578997,5.855967
70.998000,0.000000,0.452868,0.634582,0.634582,0.766953,0.766953,0.038688,5.465517,5.767715
71.498000,0.000000,0.424236,0.648298,0.648298,0.760157,0.760157,-0.012391,5.484861,5.716117
71.998000,0.000000,0.605289,0.619064,0.619064,0.806299,0.806299,0.244657,5.478665,5.670642
72.498000,0.000000,0.661789,0.598494,0.598494,0.764700,0.764700,0.267896,5.600994,5.618958
72.998000,0.000000,0.694642,0.609895,0.609895,0.776397,0.776397,0.287650,5.734941,5.550859
