alpha_0.00,alpha_0.50,alpha_1.00,beta_0.00,beta_0.50,beta_1.00,gamma_0.00,gamma_0.50,gamma_1.00,kappa,q,r,corr_test,rmse_test
0.372851,0.000802,0.203163,0.091047,0.004916,0.005066,0.001862,0.133650,0.001039,1.046576,0.314586,0.001000,0.999998,0.002848
0.184383,0.004835,0.136335,0.005220,0.001884,0.000871,0.002814,0.303501,0.002282,0.702379,0.250244,0.001000,0.999997,0.003468
0.344942,0.100668,0.142035,0.018473,0.000618,0.239922,0.010336,0.387607,0.049741,0.718310,0.199371,0.001000,0.999993,0.004705
0.490318,0.001052,0.001819,0.088837,0.003220,0.003741,0.069504,0.354918,0.002029,1.008192,0.318939,0.001000,0.999998,0.002909
0.046982,0.001136,0.155018,0.002052,0.011490,0.000972,0.010985,0.309498,0.033767,0.611551,0.277695,0.001000,0.999998,0.003052
0.001954,0.006632,0.294460,0.203884,0.001354,0.046997,0.202468,0.125591,0.001304,0.693467,0.273274,0.001000,0.999998,0.003149
0.567701,0.136516,0.059580,0.309293,0.001084,0.001606,0.001416,0.053113,0.000507,0.603359,0.225659,0.001000,0.999994,0.004272
0.091107,0.001774,0.344895,0.002519,0.003645,0.119676,0.155655,0.405138,0.001413,0.920858,0.280836,0.001000,0.999997,0.003177
0.537730,0.174112,0.184215,0.063861,0.001390,0.062536,0.025482,0.217103,0.001006,0.987774,0.280334,0.001000,0.999996,0.003433
0.305641,0.143006,0.263866,0.249024,0.003081,0.000812,0.002241,0.141545,0.001376,0.803927,0.261669,0.001000,0.999997,0.003472
0.223199,0.001361,0.017266,0.072075,0.002770,0.001586,0.003342,0.234466,0.070660,0.656616,0.291898,0.001000,0.999998,0.002963
0.357137,0.015934,0.001619,0.089175,0.001208,0.006356,0.007467,0.110379,0.001114,0.778589,0.257165,0.001000,0.999997,0.003482
0.353092,0.009132,0.106605,0.196920,0.039651,0.002444,0.002702,0.250560,0.033530,0.729943,0.274649,0.001000,0.999997,0.003237
0.251822,0.144756,0.222704,0.004180,0.001137,0.035308,0.002316,0.241886,0.000540,1.028563,0.272794,0.001000,0.999997,0.003316
0.214056,0.056402,0.303368,0.168368,0.000629,0.133711,0.023104,0.167125,0.001333,0.702260,0.242017,0.001000,0.999996,0.003678
0.088260,0.133866,0.286950,0.243627,0.000422,0.003398,0.105499,0.019624,0.000190,0.595576,0.210436,0.001000,0.999995,0.004183
0.325575,0.001416,0.001052,0.217149,0.001202,0.079594,0.002109,0.198305,0.001088,0.572214,0.280241,0.001000,0.999997,0.003207
0.210153,0.037817,0.144718,0.170982,0.000729,0.004166,0.002517,0.111117,0.000681,0.605791,0.252447,0.001000,0.999997,0.003466
0.304387,0.004728,0.155726,0.039833,0.001279,0.018664,0.004469,0.163340,0.000455,0.885954,0.295301,0.001000,0.999998,0.002998
0.050284,0.070005,0.201232,0.001630,0.001607,0.002383,0.030051,0.130386,0.000750,0.718648,0.308957,0.001000,0.999998,0.002783
0.330809,0.002394,0.120108,0.505573,0.002723,0.002079,0.368418,0.176593,0.001345,0.680810,0.334856,0.001000,0.999998,0.002741
0.307884,0.005691,0.103157,0.252931,0.001683,0.001481,0.013405,0.119886,0.016672,0.587498,0.244681,0.001000,0.999996,0.003616
0.358982,0.075645,0.051400,0.282560,0.000705,0.006604,0.254125,0.236781,0.000454,0.462466,0.156657,0.001000,0.999988,0.005901
0.225908,0.001277,0.244753,0.306292,0.000738,0.018219,0.332688,0.206898,0.001219,0.834204,0.255742,0.001000,0.999997,0.003501
0.185816,0.005235,0.355163,0.242865,0.001040,0.145744,0.043260,0.216250,0.000876,0.781791,0.334695,0.001000,0.999998,0.002656
0.299970,0.131135,0.002227,0.389018,0.005385,0.006564,0.161704,0.216437,0.132449,0.856958,0.266885,0.001000,0.999997,0.003413
0.290954,0.087647,0.125415,0.311103,0.000649,0.001681,0.101690,0.020229,0.001987,0.539935,0.229000,0.001000,0.999995,0.003942
0.134636,0.002221,0.098885,0.045854,0.001232,0.002305,0.092164,0.275957,0.117562,1.111717,0.349624,0.001000,0.999999,0.002487
0.040474,0.005051,0.123110,0.001649,0.001953,0.001084,0.108487,0.223705,0.001627,0.631252,0.282999,0.001000,0.999998,0.003012
0.276666,0.136745,0.031329,0.002023,0.001229,0.072329,0.048072,0.059182,0.000530,0.668881,0.236104,0.001000,0.999996,0.003860
0.263366,0.010479,0.174179,0.105157,0.000564,0.114244,0.148397,0.198817,0.000997,0.760787,0.270297,0.001000,0.999997,0.003303
0.491555,0.127634,0.025422,0.307232,0.001086,0.007554,0.001854,0.097045,0.000599,0.571919,0.214299,0.001000,0.999994,0.004414
0.344343,0.072947,0.103107,0.290661,0.000943,0.000667,0.001147,0.109204,0.001512,0.677159,0.232304,0.002060,0.999983,0.007958
0.349661,0.013091,0.028508,0.225611,0.001063,0.013447,0.001160,0.122805,0.000640,0.672116,0.301198,0.001000,0.999998,0.002977
0.124745,0.002487,0.375899,0.006202,0.000933,0.205316,0.097917,0.273454,0.001725,0.849462,0.267100,0.001000,0.999997,0.003323
0.310739,0.128547,0.104041,0.244438,0.000885,0.017476,0.016752,0.097397,0.000996,0.640119,0.245294,0.001000,0.999996,0.003706
0.166028,0.119105,0.104425,0.116931,0.001310,0.009269,0.074780,0.058414,0.000455,0.537666,0.222720,0.001000,0.999996,0.003965
0.457906,0.073879,0.006411,0.252438,0.000587,0.057374,0.057719,0.220753,0.003144,0.481486,0.225621,0.001000,0.999994,0.004153
0.060257,0.002584,0.248987,0.274879,0.000503,0.000698,0.073300,0.168031,0.037364,0.538701,0.258122,0.001000,0.999997,0.003312
0.122377,0.004182,0.111791,0.104875,0.000785,0.005013,0.010097,0.201914,0.003022,0.768746,0.313442,0.001000,0.999998,0.002753
