alpha_0.00,alpha_0.50,alpha_1.00,beta_0.00,beta_0.50,beta_1.00,gamma_0.00,gamma_0.50,gamma_1.00,kappa,q,r,corr_test,rmse_test
0.101090,0.006474,0.190331,0.006085,0.001160,0.030308,0.023172,0.316913,0.026787,0.857680,0.298267,0.001000,0.999998,0.002896
0.560413,0.224365,0.001940,0.323503,0.001665,0.024813,0.003028,0.092412,0.008472,0.823338,0.272739,0.001000,0.999996,0.003602
0.330884,0.072859,0.122275,0.203137,0.000865,0.036403,0.018582,0.083491,0.001344,0.658296,0.257166,0.001000,0.999997,0.003511
0.142135,0.079023,0.219654,0.109069,0.001283,0.004068,0.001360,0.141080,0.000517,0.696492,0.232177,0.001292,0.999994,0.004831
0.069336,0.007746,0.165630,0.174086,0.001445,0.043494,0.003880,0.063724,0.002408,0.616705,0.302551,0.001000,0.999998,0.002852
0.026012,0.056672,0.133207,0.013369,0.001119,0.144635,0.048420,0.165371,0.001055,0.506886,0.245309,0.001000,0.999997,0.003531
0.029640,0.034113,0.002492,0.006074,0.000660,0.008829,0.134893,0.374532,0.091272,0.591684,0.249546,0.001000,0.999997,0.003445
0.392227,0.085752,0.124877,0.116230,0.000761,0.064004,0.001796,0.136206,0.000695,0.726612,0.247301,0.001000,0.999996,0.003704
0.103898,0.028462,0.007905,0.011757,0.001155,0.063112,0.002148,0.264028,0.219662,0.544489,0.209596,0.001000,0.999995,0.004041
0.011098,0.000663,0.310919,0.002712,0.004046,0.000645,0.115815,0.259107,0.000860,0.902457,0.291830,0.001000,0.999998,0.002946
0.336743,0.029791,0.039227,0.152870,0.000974,0.001125,0.010194,0.390498,0.144544,0.774463,0.244493,0.001000,0.999996,0.003623
0.003442,0.029820,0.232880,0.073959,0.000742,0.009246,0.010330,0.099890,0.001015,0.673896,0.271248,0.001000,0.999998,0.003140
0.026027,0.001154,0.279050,0.004345,0.001783,0.000784,0.023529,0.301184,0.000634,0.842443,0.293733,0.001000,0.999998,0.002912
0.438547,0.209936,0.001359,0.112117,0.003088,0.003746,0.002947,0.014878,0.001003,0.726344,0.282346,0.001000,0.999997,0.003368
0.008956,0.001940,0.282590,0.049603,0.000708,0.066944,0.010330,0.065051,0.000782,0.674820,0.279737,0.001000,0.999998,0.003060
0.087584,0.111847,0.235324,0.032308,0.000669,0.015020,0.076956,0.178029,0.000340,0.665626,0.241740,0.001000,0.999996,0.003604
0.330656,0.099421,0.074514,0.057033,0.000688,0.032825,0.009083,0.159057,0.001403,0.730144,0.300783,0.001000,0.999997,0.003015
0.128831,0.174911,0.171457,0.034343,0.001823,0.007879,0.001017,0.164349,0.000566,0.642059,0.215929,0.001000,0.999995,0.004092
0.406307,0.001028,0.008712,0.243322,0.003482,0.003551,0.002391,0.182711,0.070412,0.722663,0.264979,0.001000,0.999997,0.003375
0.311341,0.146967,0.000659,0.416924,0.000721,0.002769,0.205637,0.009463,0.085257,0.562006,0.241673,0.001000,0.999996,0.003797
0.001465,0.004784,0.205280,0.141470,0.001391,0.004597,0.067572,0.210368,0.001320,0.781136,0.298520,0.001000,0.999998,0.002863
0.382453,0.081628,0.141170,0.152253,0.002197,0.010624,0.006315,0.224864,0.001169,0.942436,0.270542,0.001000,0.999997,0.003363
0.249870,0.064064,0.104269,0.229503,0.000719,0.001930,0.096048,0.178677,0.095577,0.958604,0.289190,0.001000,0.999998,0.003057
0.252606,0.002091,0.145746,0.108606,0.000454,0.000873,0.042906,0.246658,0.016888,0.727884,0.270288,0.001000,0.999997,0.003234
0.189517,0.015150,0.003545,0.103995,0.000717,0.058429,0.032779,0.267441,0.050649,0.657397,0.246450,0.001000,0.999997,0.003542
0.116329,0.049182,0.073845,0.094676,0.013369,0.003343,0.002892,0.170191,0.000778,0.606358,0.261205,0.001000,0.999997,0.003304
0.371657,0.059076,0.166852,0.315124,0.000848,0.008957,0.098931,0.156174,0.001402,0.719625,0.285973,0.001000,0.999997,0.003176
0.546468,0.075497,0.074693,0.208437,0.000931,0.236794,0.128407,0.269907,0.001250,0.812454,0.305504,0.001000,0.999997,0.003198
0.202115,0.002953,0.177214,0.052152,0.001204,0.001080,0.004111,0.202134,0.023246,0.776728,0.297957,0.001000,0.999998,0.002907
0.237562,0.028259,0.034713,0.006485,0.001067,0.001151,0.199864,0.384562,0.000458,0.705251,0.295983,0.001000,0.999997,0.003058
0.362063,0.144530,0.243473,0.247581,0.002447,0.003239,0.001394,0.160305,0.001658,0.726442,0.256342,0.001000,0.999996,0.003583
0.277852,0.002331,0.149748,0.191107,0.002118,0.002521,0.002803,0.235819,0.000774,0.691892,0.284096,0.001000,0.999997,0.003096
0.241638,0.107944,0.153160,0.060244,0.001478,0.105849,0.006879,0.007725,0.001094,0.914033,0.283510,0.001000,0.999998,0.003203
0.333309,0.195530,0.037479,0.314767,0.001132,0.001330,0.110697,0.127494,0.106239,0.673673,0.232427,0.001000,0.999995,0.003952
0.258087,0.005188,0.002298,0.005195,0.000958,0.002066,0.002862,0.154562,0.006135,0.630590,0.242529,0.001000,0.999996,0.003616
0.194390,0.006903,0.099346,0.112665,0.000859,0.030093,0.002204,0.192028,0.003615,0.517522,0.240001,0.001000,0.999996,0.003620
0.331539,0.000865,0.011621,0.316930,0.001926,0.003812,0.279257,0.416562,0.004324,0.726457,0.289041,0.001000,0.999997,0.003193
0.258130,0.003726,0.097004,0.067617,0.000930,0.001590,0.031368,0.361999,0.001180,0.703476,0.281603,0.001000,0.999997,0.003137
0.244056,0.001003,0.265240,0.013458,0.000847,0.127332,0.038506,0.223662,0.000946,0.896080,0.274875,0.001000,0.999997,0.003234
0.409117,0.101166,0.049132,0.081760,0.000766,0.136146,0.008184,0.294425,0.003252,0.775483,0.250074,0.001000,0.999996,0.003753
0.021224,0.044270,0.411588,0.115287,0.001233,0.114011,0.008780,0.224497,0.001302,0.747790,0.313754,0.001000,0.999998,0.002769
0.306347,0.289891,0.102575,0.379124,0.000641,0.002864,0.218011,0.143590,0.000761,0.625004,0.205730,0.001000,0.999993,0.004614
0.397543,0.006289,0.092889,0.068732,0.000956,0.000868,0.011838,0.240284,0.001183,0.827605,0.248491,0.001000,0.999996,0.003615
0.302184,0.138069,0.151824,0.329080,0.001014,0.002956,0.188058,0.087866,0.012855,0.677922,0.241126,0.001000,0.999996,0.003779
0.512511,0.064880,0.114383,0.451439,0.000893,0.145959,0.239992,0.009695,0.003356,0.849356,0.296421,0.001000,0.999997,0.003234
0.180350,0.001079,0.113812,0.245334,0.001431,0.000880,0.005651,0.241275,0.119891,0.660707,0.256925,0.001000,0.999997,0.003336
0.227681,0.070986,0.001795,0.283273,0.002053,0.061664,0.243782,0.230116,0.004215,0.653194,0.276969,0.001000,0.999997,0.003268
0.522440,0.029433,0.037691,0.354913,0.000787,0.001342,0.068943,0.174215,0.053498,0.625883,0.253585,0.001000,0.999996,0.003656
0.304998,0.001095,0.092808,0.303576,0.002276,0.010709,0.160191,0.306563,0.094690,0.842977,0.349893,0.001000,0.999998,0.002544
0.051068,0.007564,0.254414,0.105685,0.001127,0.001118,0.013829,0.144081,0.001665,0.664678,0.266421,0.001000,0.999998,0.003199
0.163381,0.002233,0.055020,0.037629,0.001534,0.004680,0.001881,0.227334,0.000919,0.826709,0.329047,0.001000,0.999999,0.002645
0.386781,0.001008,0.004124,0.415687,0.000956,0.001005,0.150662,0.195831,0.003973,0.774984,0.289602,0.001000,0.999998,0.003151
0.187476,0.191101,0.086051,0.013913,0.003912,0.009329,0.105389,0.032492,0.002676,0.748783,0.305423,0.001000,0.999998,0.002950
0.002560,0.003406,0.130000,0.006126,0.002819,0.001876,0.039699,0.259526,0.018435,0.726276,0.275572,0.001000,0.999998,0.003075
0.303596,0.000200,0.001558,0.005569,0.001165,0.076712,0.076324,0.184647,0.001897,0.924068,0.311146,0.001000,0.999998,0.002896
0.003242,0.002755,0.146272,0.275458,0.001341,0.059163,0.300775,0.273050,0.000796,0.634665,0.259350,0.001000,0.999997,0.003368
0.115246,0.029841,0.362741,0.003288,0.001287,0.001202,0.012712,0.138777,0.003454,1.042103,0.282240,0.001000,0.999998,0.003087
0.246048,0.003823,0.149217,0.268385,0.001616,0.001966,0.002138,0.319722,0.001167,0.737008,0.286421,0.001000,0.999998,0.003081
0.320124,0.116810,0.005221,0.212516,0.001017,0.009951,0.001980,0.147160,0.000471,0.582505,0.229385,0.001000,0.999996,0.003962
0.002589,0.006318,0.125290,0.005259,0.006052,0.085367,0.108785,0.319356,0.001981,0.725364,0.313363,0.001000,0.999998,0.002764
