time_s,E_lag0.00,E_lag0.50,E_lag1.00,S_lag0.00,S_lag0.50,S_lag1.00,C_lag0.00,C_lag0.50,C_lag1.00,y,xhat_QCI,split
1.998000,0.497001,-0.051453,0.121832,1.249681,-2.278761,0.739314,1.054193,-1.846860,0.129297,0.279673,0.279394,train
2.498000,0.252816,0.644223,-0.546735,0.497001,-0.051453,0.121832,1.249681,-2.278761,0.739314,0.710572,0.707340,train
2.998000,0.040000,0.126191,-1.416636,0.252816,0.644223,-0.546735,0.497001,-0.051453,0.121832,0.544727,0.543681,train
3.498000,0.161854,-0.383237,-1.238129,0.040000,0.126191,-1.416636,0.252816,0.644223,-0.546735,1.129020,1.125102,train
3.998000,0.667955,-0.754470,0.016727,0.161854,-0.383237,-1.238129,0.040000,0.126191,-1.416636,1.191267,1.189648,train
4.498000,0.562582,-0.423468,0.762226,0.667955,-0.754470,0.016727,0.161854,-0.383237,-1.238129,0.384329,0.387222,train
4.998000,0.565870,-0.337764,0.564276,0.562582,-0.423468,0.762226,0.667955,-0.754470,0.016727,-0.066143,-0.064237,train
5.498000,-0.059709,-0.014391,-0.144632,0.565870,-0.337764,0.564276,0.562582,-0.423468,0.762226,-1.058215,-1.053265,train
5.998000,-0.359610,-0.077153,-0.745127,-0.059709,-0.014391,-0.144632,0.565870,-0.337764,0.564276,-0.299098,-0.301937,train
6.498000,-1.273215,-0.635243,-1.231795,-0.359610,-0.077153,-0.745127,-0.059709,-0.014391,-0.144632,-0.821370,-0.818969,train
6.998000,-1.963264,-1.316090,-2.288957,-1.273215,-0.635243,-1.231795,-0.359610,-0.077153,-0.745127,-1.521658,-1.518278,train
7.498000,-1.971576,-1.093592,-1.808120,-1.963264,-1.316090,-2.288957,-1.273215,-0.635243,-1.231795,-1.618146,-1.617411,train
7.998000,-0.768450,-0.138432,-0.414998,-1.971576,-1.093592,-1.808120,-1.963264,-1.316090,-2.288957,-1.150096,-1.151996,train
8.498000,-0.498586,0.209824,0.639002,-0.768450,-0.138432,-0.414998,-1.971576,-1.093592,-1.808120,-1.121014,-1.120551,train
8.998000,-0.260281,-0.124369,0.654245,-0.498586,0.209824,0.639002,-0.768450,-0.138432,-0.414998,-0.750082,-0.751123,train
9.498000,-0.394126,-0.499475,0.250461,-0.260281,-0.124369,0.654245,-0.498586,0.209824,0.639002,-0.909029,-0.907339,train
9.998000,-0.414933,-0.389733,-0.403250,-0.394126,-0.499475,0.250461,-0.260281,-0.124369,0.654245,-0.671080,-0.671239,train
10.498000,-0.741756,0.173960,-0.991121,-0.414933,-0.389733,-0.403250,-0.394126,-0.499475,0.250461,-1.168892,-1.166006,train
10.998000,-0.393319,-0.195500,-0.101478,-0.741756,0.173960,-0.991121,-0.414933,-0.389733,-0.403250,-0.378426,-0.381735,train
11.498000,-0.591564,-0.156098,-0.633619,-0.393319,-0.195500,-0.101478,-0.741756,0.173960,-0.991121,-0.673566,-0.671940,train
11.998000,-0.790358,-0.521605,-0.503917,-0.591564,-0.156098,-0.633619,-0.393319,-0.195500,-0.101478,-0.660160,-0.659834,train
12.498000,-1.004535,-0.442000,-0.921815,-0.790358,-0.521605,-0.503917,-0.591564,-0.156098,-0.633619,-1.063769,-1.061591,train
12.998000,-0.330012,-0.580623,0.332529,-1.004535,-0.442000,-0.921815,-0.790358,-0.521605,-0.503917,-0.153173,-0.157123,train
13.498000,0.513183,-0.061837,0.509750,-0.330012,-0.580623,0.332529,-1.004535,-0.442000,-0.921815,-0.105609,-0.105812,train
13.998000,0.104779,-0.342276,0.179247,0.513183,-0.061837,0.509750,-0.330012,-0.580623,0.332529,0.183276,0.182221,train
14.498000,0.114217,-0.497891,0.441891,0.104779,-0.342276,0.179247,0.513183,-0.061837,0.509750,0.096616,0.096453,train
14.998000,0.052654,-0.286957,0.062579,0.114217,-0.497891,0.441891,0.104779,-0.342276,0.179247,0.592866,0.590468,train
15.498000,0.478966,0.501396,-0.178518,0.052654,-0.286957,0.062579,0.114217,-0.497891,0.441891,0.482049,0.481734,train
15.998000,0.535614,0.576474,-0.049163,0.478966,0.501396,-0.178518,0.052654,-0.286957,0.062579,0.612607,0.611436,train
16.498000,0.616367,0.449748,0.694612,0.535614,0.576474,-0.049163,0.478966,0.501396,-0.178518,0.859168,0.857302,train
16.998000,0.667770,0.328255,0.519325,0.616367,0.449748,0.694612,0.535614,0.576474,-0.049163,1.342245,1.339551,train
17.498000,1.284680,-1.400319,0.995038,0.667770,0.328255,0.519325,0.616367,0.449748,0.694612,1.892111,1.888502,train
17.998000,1.317571,-1.776672,0.930972,1.284680,-1.400319,0.995038,0.667770,0.328255,0.519325,1.825308,1.824372,train
