,E_in_norm,S_entropy_norm,C_ent_alpha_norm,dQCI_dt,QCI_smooth
E_in_norm,1.0000,-0.3423,0.5609,0.7203,0.6013
S_entropy_norm,-0.3423,1.0000,-0.4729,-0.5955,-0.0403
C_ent_alpha_norm,0.5609,-0.4729,1.0000,0.6423,0.3796
dQCI_dt,0.7203,-0.5955,0.6423,1.0000,-0.0424
QCI_smooth,0.6013,-0.0403,0.3796,-0.0424,1.0000
