time_s,E_lag0.00,E_lag0.50,E_lag1.00,S_lag0.00,S_lag0.50,S_lag1.00,C_lag0.00,C_lag0.50,C_lag1.00,y,xhat_QCI,split
21.998000,0.201798,0.851198,-0.031775,0.216455,1.178332,0.848907,0.141382,0.975961,0.506635,-0.618353,-0.616540,train
22.498000,0.088794,0.520318,0.654290,0.201798,0.851198,-0.031775,0.216455,1.178332,0.848907,-1.043166,-1.040796,train
22.998000,0.057867,0.368827,0.761965,0.088794,0.520318,0.654290,0.201798,0.851198,-0.031775,-0.779030,-0.778883,train
23.498000,-0.001265,0.117568,1.230163,0.057867,0.368827,0.761965,0.088794,0.520318,0.654290,-0.462577,-0.463020,train
23.998000,-0.675811,-0.382756,0.376049,-0.001265,0.117568,1.230163,0.057867,0.368827,0.761965,-0.334285,-0.334424,train
24.498000,-0.595928,-0.973974,-0.627253,-0.675811,-0.382756,0.376049,-0.001265,0.117568,1.230163,-1.162062,-1.158595,train
24.998000,-0.772893,-0.926888,-0.651385,-0.595928,-0.973974,-0.627253,-0.675811,-0.382756,0.376049,-1.407925,-1.405146,train
25.498000,-0.757289,-1.188886,-0.627003,-0.772893,-0.926888,-0.651385,-0.595928,-0.973974,-0.627253,-0.887806,-0.888319,train
25.998000,-1.063484,-0.893272,-0.753064,-0.757289,-1.188886,-0.627003,-0.772893,-0.926888,-0.651385,-0.116414,-0.119155,train
26.498000,-0.478603,-0.542420,0.166149,-1.063484,-0.893272,-0.753064,-0.757289,-1.188886,-0.627003,0.164847,0.163393,train
26.998000,-0.445793,-0.053221,0.008717,-0.478603,-0.542420,0.166149,-1.063484,-0.893272,-0.753064,0.063905,0.064400,train
27.498000,-1.426884,-1.033901,-0.781274,-0.445793,-0.053221,0.008717,-0.478603,-0.542420,0.166149,-0.679840,-0.676845,train
27.998000,-2.320188,-1.290053,-1.787507,-1.426884,-1.033901,-0.781274,-0.445793,-0.053221,0.008717,-1.125664,-1.124598,train
28.498000,-2.311945,-1.726253,-0.388267,-2.320188,-1.290053,-1.787507,-1.426884,-1.033901,-0.781274,-1.228321,-1.227154,train
28.998000,0.033318,-1.481082,1.443095,-2.311945,-1.726253,-0.388267,-2.320188,-1.290053,-1.787507,-1.331275,-1.329700,train
29.498000,-0.154748,-0.996949,1.669038,0.033318,-1.481082,1.443095,-2.311945,-1.726253,-0.388267,-1.329058,-1.324926,train
29.998000,1.195810,0.262596,1.810224,-0.154748,-0.996949,1.669038,0.033318,-1.481082,1.443095,1.308953,1.297606,train
30.498000,1.028624,1.049051,1.384282,1.195810,0.262596,1.810224,-0.154748,-0.996949,1.669038,0.965417,0.966495,train
30.998000,1.278693,0.659842,0.941044,1.028624,1.049051,1.384282,1.195810,0.262596,1.810224,1.205516,1.202144,train
31.498000,0.564584,0.759031,-0.404430,1.278693,0.659842,0.941044,1.028624,1.049051,1.384282,0.067834,0.071501,train
31.998000,0.507341,0.397342,0.799002,0.564584,0.759031,-0.404430,1.278693,0.659842,0.941044,0.537618,0.535128,train
32.498000,-0.150284,1.424924,0.778977,0.507341,0.397342,0.799002,0.564584,0.759031,-0.404430,0.322095,0.322537,train
32.998000,-0.532590,0.648189,0.354714,-0.150284,1.424924,0.778977,0.507341,0.397342,0.799002,-0.072441,-0.071414,train
33.498000,-1.701258,-1.402033,0.223061,-0.532590,0.648189,0.354714,-0.150284,1.424924,0.778977,-1.006421,-1.003678,train
33.998000,0.574059,-0.465897,1.941860,-1.701258,-1.402033,0.223061,-0.532590,0.648189,0.354714,1.286420,1.275603,train
34.498000,0.518508,-0.492679,0.960646,0.574059,-0.465897,1.941860,-1.701258,-1.402033,0.223061,1.075473,1.078897,train
34.998000,1.249681,0.105707,0.476363,0.518508,-0.492679,0.960646,0.574059,-0.465897,1.941860,1.305380,1.302129,train
35.498000,-0.220559,-0.053756,-1.548180,1.249681,0.105707,0.476363,0.518508,-0.492679,0.960646,-0.216204,-0.209490,train
35.998000,0.956555,-0.167200,0.621464,-0.220559,-0.053756,-1.548180,1.249681,0.105707,0.476363,1.215662,1.207291,train
36.498000,1.717311,-0.240105,1.528271,0.956555,-0.167200,0.621464,-0.220559,-0.053756,-1.548180,1.708165,1.706131,train
36.998000,1.753342,-0.067595,1.898589,1.717311,-0.240105,1.528271,0.956555,-0.167200,0.621464,1.738865,1.738082,train
37.498000,1.806534,0.179000,1.873291,1.753342,-0.067595,1.898589,1.717311,-0.240105,1.528271,1.672132,1.671052,train
37.998000,1.115476,0.540438,0.991410,1.806534,0.179000,1.873291,1.753342,-0.067595,1.898589,1.522148,1.521284,train
38.498000,1.034809,0.601673,-0.116842,1.115476,0.540438,0.991410,1.806534,0.179000,1.873291,1.051033,1.050863,train
38.998000,1.540788,0.622336,1.198140,1.034809,0.601673,-0.116842,1.115476,0.540438,0.991410,1.272728,1.270291,train
39.498000,1.937832,0.079242,0.975324,1.540788,0.622336,1.198140,1.034809,0.601673,-0.116842,1.649678,1.647371,train
39.998000,1.966082,0.073810,0.985541,1.937832,0.079242,0.975324,1.540788,0.622336,1.198140,1.604393,1.603540,train
