alpha_0.00,alpha_0.50,alpha_1.00,beta_0.00,beta_0.50,beta_1.00,gamma_0.00,gamma_0.50,gamma_1.00,kappa,q,r,corr_test,rmse_test
0.370008,0.001984,0.007804,0.122520,0.351299,0.033998,0.000810,0.283257,0.000595,1.016917,0.533577,0.001365,0.999999,0.001519
0.315181,0.001402,0.003814,0.001730,0.431062,0.185746,0.000977,0.292201,0.000822,0.815786,0.534488,0.001404,0.999999,0.001575
0.969768,0.001708,0.000674,0.511989,0.062494,0.163784,0.002574,0.001207,0.098348,1.118382,0.458886,0.029938,0.999134,0.037942
0.302716,0.053648,0.001177,0.320688,0.346494,0.061321,0.000939,0.348648,0.000428,0.937016,0.592270,0.002854,0.999996,0.002967
0.514090,0.004064,0.001146,0.462016,0.266399,0.085809,0.001268,0.293597,0.000703,0.711809,0.513465,0.001392,0.999998,0.001702
0.890361,0.000935,0.000609,0.501811,0.361075,0.235685,0.001586,0.164339,0.000697,0.976325,0.488381,0.001000,0.999999,0.001369
0.436852,0.004726,0.015451,0.007403,0.515091,0.038863,0.068131,0.196971,0.001308,1.296703,0.443916,0.003941,0.999987,0.005263
0.152614,0.000889,0.001177,0.009304,0.393211,0.232505,0.000779,0.286091,0.001153,0.672802,0.588928,0.001000,0.999999,0.001017
0.699197,0.005619,0.000603,0.602465,0.179326,0.102681,0.002141,0.405753,0.000159,0.888824,0.504450,0.001000,0.999999,0.001304
0.498150,0.000847,0.004661,0.359483,0.410665,0.181354,0.001077,0.420812,0.000651,0.469166,0.303947,0.130254,0.981896,0.162916
0.274939,0.001623,0.001340,0.295226,0.331134,0.125918,0.001799,0.309170,0.001017,0.687881,0.548234,0.001000,0.999999,0.001116
0.447625,0.001047,0.037822,0.375061,0.203697,0.014885,0.000998,0.268381,0.000583,0.721588,0.425516,0.028107,0.999288,0.036476
0.663578,0.003022,0.000993,0.533124,0.440245,0.001375,0.001292,0.480646,0.001334,0.732345,0.391324,0.106837,0.989899,0.126620
0.581336,0.001246,0.003036,0.338753,0.538432,0.087120,0.001244,0.507810,0.000512,0.798114,0.479264,0.038099,0.998731,0.046367
0.512183,0.002173,0.002147,0.187056,0.253659,0.002205,0.000931,0.125746,0.042204,0.952824,0.494748,0.001582,0.999998,0.001887
0.758079,0.144497,0.000647,0.587285,0.538894,0.144415,0.001620,0.419323,0.000608,0.837009,0.467013,0.001777,0.999996,0.002668
0.172169,0.000902,0.036557,0.010457,0.488781,0.001170,0.000571,0.296905,0.000743,0.778473,0.592966,0.001398,0.999999,0.001412
0.337197,0.002430,0.009107,0.482537,0.516622,0.149331,0.011887,0.396216,0.000775,0.402264,0.454799,0.038385,0.998590,0.048543
0.673768,0.000777,0.001968,0.605116,0.543100,0.091518,0.001359,0.493355,0.000368,0.625498,0.433024,0.019901,0.999453,0.029536
0.437278,0.251386,0.080322,0.324298,0.966649,0.001739,0.001739,0.640942,0.001799,0.786240,0.299192,0.106114,0.981736,0.164450
0.521579,0.002883,0.000644,0.325983,0.396572,0.066173,0.001847,0.415116,0.000933,0.789111,0.495120,0.001000,0.999999,0.001278
0.763725,0.001761,0.000969,0.741405,0.295960,0.132588,0.003613,0.443998,0.000512,1.096194,0.535491,0.001311,0.999999,0.001681
0.500595,0.005758,0.001300,0.179462,0.705566,0.147453,0.000929,0.568376,0.000558,0.889612,0.530806,0.002255,0.999996,0.002808
0.944963,0.002424,0.002848,0.358506,0.535786,0.225229,0.091383,0.204479,0.002384,1.283940,0.463333,0.002462,0.999993,0.003546
0.643624,0.001686,0.000962,0.413699,0.452570,0.101286,0.001294,0.414420,0.002291,0.597696,0.335122,0.141101,0.981252,0.164799
0.760310,0.000755,0.000786,0.340865,0.411127,0.002387,0.000919,0.404528,0.000528,1.158497,0.476678,0.001340,0.999998,0.001796
0.748579,0.002263,0.002220,0.439366,0.332303,0.006466,0.000894,0.355350,0.000436,0.885072,0.414490,0.001000,0.999999,0.001550
0.371803,0.003979,0.003870,0.300024,0.307618,0.010884,0.001361,0.266113,0.000944,0.553735,0.419787,0.001184,0.999998,0.001715
0.424026,0.003841,0.001878,0.353428,0.172909,0.002851,0.001201,0.273622,0.000581,0.999263,0.482814,0.001000,0.999999,0.001244
0.361085,0.001289,0.000997,0.622329,0.370452,0.001954,0.002416,0.427016,0.000498,0.233977,0.483429,0.010776,0.999872,0.014238
0.002911,0.001754,0.000640,0.090656,0.370678,0.203837,0.001521,0.285965,0.000867,0.327252,0.445154,0.001000,0.999999,0.001349
0.330411,0.001725,0.001050,0.368438,0.331462,0.208943,0.000731,0.296260,0.001018,0.662463,0.591358,0.001000,0.999999,0.001064
0.768369,0.001365,0.001099,0.406778,0.485878,0.092018,0.001072,0.288979,0.001125,1.004548,0.572239,0.001000,0.999999,0.001145
0.587087,0.001320,0.062724,0.322181,0.489411,0.148952,0.001342,0.359622,0.000813,0.724827,0.388858,0.017479,0.999546,0.027223
0.199751,0.004139,0.001085,0.184214,0.652312,0.132219,0.000874,0.545450,0.000641,0.351559,0.449485,0.011632,0.999837,0.016206
0.094230,0.006047,0.029783,0.285450,0.410262,0.055149,0.006582,0.278165,0.001531,0.373739,0.441322,0.001592,0.999997,0.002205
0.485667,0.001307,0.001152,0.556911,0.721681,0.001243,0.007146,0.608341,0.119431,0.300431,0.320522,0.036225,0.996874,0.066435
0.440744,0.003117,0.000679,0.462429,0.587704,0.003862,0.001957,0.462322,0.001405,0.546892,0.427247,0.001000,0.999999,0.001556
0.202714,0.001340,0.002738,0.106501,0.600566,0.003002,0.002189,0.318527,0.019787,0.467129,0.389431,0.001295,0.999997,0.002064
0.639990,0.001040,0.001242,0.189972,0.305374,0.235879,0.000843,0.235283,0.000290,1.001310,0.521354,0.003755,0.999989,0.004432
0.128679,0.000655,0.002782,0.061076,0.548920,0.155388,0.002221,0.267439,0.001979,0.659723,0.546080,0.003705,0.999992,0.004106
0.066808,0.103753,0.003594,0.194676,0.460011,0.120296,0.000642,0.366278,0.000489,0.667387,0.575907,0.003778,0.999993,0.004020
0.639654,0.001365,0.001676,0.615848,0.257485,0.039614,0.126209,0.207603,0.000818,0.763106,0.444270,0.001047,0.999999,0.001505
0.596873,0.001126,0.001173,0.167491,0.116420,0.066713,0.001341,0.070231,0.023056,1.357417,0.527143,0.001059,0.999999,0.001172
0.386534,0.035477,0.001387,0.400443,0.542245,0.084578,0.000612,0.562558,0.000549,0.594186,0.476039,0.001357,0.999998,0.001892
0.440288,0.005694,0.001089,0.417861,0.427900,0.110660,0.155432,0.208366,0.001657,0.696544,0.421036,0.013326,0.999797,0.019030
0.506688,0.001169,0.003642,0.490000,0.420253,0.000739,0.001325,0.239449,0.001432,0.574267,0.396736,0.001000,0.999998,0.001612
0.791559,0.012843,0.001883,0.367311,0.095997,0.108799,0.001168,0.114679,0.000647,1.149048,0.540947,0.001928,0.999997,0.002193
0.140998,0.001894,0.000849,0.303850,0.292299,0.017061,0.001105,0.342185,0.000802,0.490252,0.530139,0.001262,0.999999,0.001441
0.065292,0.000911,0.084309,0.028178,0.513025,0.000904,0.000841,0.350600,0.019611,0.827956,0.502547,0.045485,0.998958,0.048495
0.497929,0.002219,0.001783,0.351754,0.372312,0.085002,0.004359,0.363652,0.001396,0.772982,0.559590,0.001848,0.999998,0.002076
0.446966,0.090944,0.001111,0.270841,0.644361,0.192697,0.001075,0.443255,0.000820,0.694111,0.567253,0.001317,0.999999,0.001547
0.722412,0.002291,0.001519,0.513995,0.167185,0.000915,0.002066,0.136988,0.171428,0.886863,0.327767,0.038801,0.997682,0.062481
0.740215,0.003402,0.000753,0.235141,0.176827,0.011033,0.001420,0.016190,0.001471,1.517395,0.539352,0.001000,0.999999,0.001103
0.524268,0.000780,0.000786,0.338299,0.552770,0.131323,0.003316,0.373218,0.057358,0.634528,0.448346,0.008254,0.999917,0.011680
0.362677,0.032278,0.000680,0.299505,0.368946,0.026643,0.002568,0.309661,0.001666,0.742567,0.537595,0.001000,0.999999,0.001142
