,E_in_norm,S_entropy_norm,C_ent_alpha_norm,dQCI_dt,QCI_smooth
E_in_norm,1.0000,-0.0234,0.4836,0.8403,0.3904
S_entropy_norm,-0.0234,1.0000,0.1227,-0.1505,-0.1014
C_ent_alpha_norm,0.4836,0.1227,1.0000,0.6313,0.1723
dQCI_dt,0.8403,-0.1505,0.6313,1.0000,-0.0661
QCI_smooth,0.3904,-0.1014,0.1723,-0.0661,1.0000
