time_s,E_in_raw,E_in_norm,S_entropy,S_entropy_norm,C_ent_alpha,C_ent_alpha_norm,dQCI_dt,QCI,QCI_smooth
0.998000,0.000000,0.019772,0.626950,0.626950,0.641777,0.641777,0.034599,0.000000,0.007886
1.498000,0.000000,0.021576,0.650237,0.650237,0.636794,0.636794,0.006403,0.017300,0.007548
1.998000,0.000000,0.053672,0.697696,0.697696,0.667960,0.667960,0.021886,0.020501,0.001917
2.498000,0.000000,0.039370,0.735082,0.735082,0.655204,0.655204,-0.043652,0.031445,0.002316
2.998000,0.000000,0.030873,0.725754,0.725754,0.669845,0.669845,-0.025998,0.009618,0.003629
3.498000,0.000000,0.000000,0.650172,0.650172,0.543972,0.543972,-0.105862,-0.003381,0.006198
3.998000,0.000000,0.084496,0.710100,0.710100,0.740575,0.740575,0.120602,-0.056312,0.008339
4.498000,0.000000,0.170205,0.766901,0.766901,0.615370,0.615370,0.018275,0.003989,0.015684
4.998000,0.000000,0.194682,0.750469,0.750469,0.582240,0.582240,0.025140,0.013127,0.031023
5.498000,0.000000,0.130550,0.727050,0.727050,0.590489,0.590489,-0.008580,0.025697,0.051267
5.998000,0.000000,0.124651,0.734281,0.734281,0.750450,0.750450,0.138679,0.021407,0.073595
6.498000,0.000000,0.153080,0.768663,0.768663,0.790955,0.790955,0.166297,0.090746,0.092664
6.998000,0.000000,0.123768,0.736925,0.736925,0.750531,0.750531,0.119985,0.173895,0.113069
7.498000,0.000000,0.047756,0.684971,0.684971,0.658623,0.658623,-0.001981,0.233887,0.118420
7.998000,0.000000,0.000329,0.692373,0.692373,0.624159,0.624159,-0.091174,0.232897,0.115573
8.498000,0.000000,0.008337,0.750790,0.750790,0.682031,0.682031,-0.079152,0.187310,0.106892
8.998000,0.000000,0.000000,0.746098,0.746098,0.580402,0.580402,-0.180469,0.147734,0.099063
9.498000,0.000000,0.000000,0.702036,0.702036,0.562109,0.562109,-0.145677,0.057500,0.091451
9.998000,0.000000,0.000000,0.714180,0.714180,0.621099,0.621099,-0.091547,-0.015339,0.088779
10.498000,0.000000,0.009990,0.747215,0.747215,0.739570,0.739570,0.008456,-0.061113,0.098481
10.998000,0.000000,0.069369,0.748465,0.748465,0.816429,0.816429,0.143021,-0.056885,0.131557
11.498000,0.000000,0.313236,0.700982,0.700982,0.654305,0.654305,0.265097,0.014626,0.189441
11.998000,0.000000,0.458750,0.711833,0.711833,0.635271,0.635271,0.367470,0.147174,0.259242
12.498000,0.000000,0.553089,0.714935,0.714935,0.660424,0.660424,0.465487,0.330909,0.349045
12.998000,0.000000,0.391961,0.750991,0.750991,0.820393,0.820393,0.404997,0.563653,0.447740
13.498000,0.000000,0.269697,0.753352,0.753352,0.719455,0.719455,0.159185,0.766151,0.559027
13.998000,0.000000,0.221123,0.742807,0.742807,0.825823,0.825823,0.219565,0.845744,0.668863
14.498000,0.000000,0.193145,0.725873,0.725873,0.660462,0.660462,0.032181,0.955526,0.771275
14.998000,0.000000,0.237282,0.751566,0.751566,0.771714,0.771714,0.160268,0.971617,0.860069
15.498000,0.000000,0.222202,0.764838,0.764838,0.627259,0.627259,-0.020552,1.051751,0.930052
15.998000,0.000000,0.204718,0.757973,0.757973,0.651963,0.651963,-0.005439,1.041475,0.977532
16.498000,0.000000,0.200710,0.771102,0.771102,0.666981,0.666981,-0.007286,1.038755,1.001700
16.998000,0.000000,0.134606,0.724916,0.724916,0.685060,0.685060,-0.008761,1.035112,1.014763
17.498000,0.000000,0.083592,0.680566,0.680566,0.715500,0.715500,0.015453,1.030732,1.017368
17.998000,0.000000,0.067559,0.640818,0.640818,0.615854,0.615854,-0.061252,1.038458,1.019869
18.498000,0.000000,0.084082,0.702648,0.702648,0.656420,0.656420,-0.062928,1.007832,1.015065
18.998000,0.000000,0.118135,0.716797,0.716797,0.706728,0.706728,0.010430,0.976368,1.008284
19.498000,0.000000,0.063932,0.660669,0.660669,0.724975,0.724975,0.030079,0.981583,0.997222
19.998000,0.000000,0.034874,0.558407,0.558407,0.637367,0.637367,0.014172,0.996622,0.982595
20.498000,0.000000,0.060231,0.611297,0.611297,0.591355,0.591355,-0.060081,1.003708,0.957284
20.998000,0.000000,0.089357,0.726180,0.726180,0.643120,0.643120,-0.091070,0.973668,0.924876
21.498000,0.000000,0.099059,0.758061,0.758061,0.673244,0.673244,-0.078572,0.928133,0.885852
21.998000,0.000000,0.044172,0.747545,0.747545,0.569808,0.569808,-0.222450,0.888847,0.844402
22.498000,0.000000,0.022225,0.724745,0.724745,0.653794,0.653794,-0.126487,0.777622,0.793180
