,E_in_norm,S_entropy_norm,C_ent_alpha_norm,dQCI_dt,QCI_smooth
E_in_norm,1.0000,-0.2582,0.2075,0.8316,0.3692
S_entropy_norm,-0.2582,1.0000,-0.2534,-0.4182,-0.0559
C_ent_alpha_norm,0.2075,-0.2534,1.0000,0.4919,0.0347
dQCI_dt,0.8316,-0.4182,0.4919,1.0000,-0.1023
QCI_smooth,0.3692,-0.0559,0.0347,-0.1023,1.0000
