alpha_0.00,alpha_0.50,alpha_1.00,beta_0.00,beta_0.50,beta_1.00,gamma_0.00,gamma_0.50,gamma_1.00,kappa,q,r,corr_test,rmse_test
0.198627,0.001138,0.001066,0.375659,0.213611,0.178714,0.235713,0.190829,0.133201,0.661379,0.266146,0.001001,0.999998,0.003828
0.185473,0.001563,0.000840,0.028770,0.003782,0.261715,0.003824,0.331946,0.154815,0.827070,0.289997,0.001000,0.999998,0.003565
0.166947,0.000311,0.025130,0.346033,0.111598,0.002172,0.057325,0.213279,0.002186,0.600944,0.325383,0.001000,0.999999,0.003163
0.189432,0.000836,0.000700,0.085539,0.005054,0.101571,0.006533,0.203562,0.123422,0.818800,0.316705,0.001966,0.999995,0.006375
0.274454,0.010403,0.001945,0.139428,0.002282,0.117185,0.068393,0.080627,0.050571,0.817716,0.295599,0.014952,0.999683,0.048416
0.142764,0.001002,0.000954,0.002065,0.191412,0.116263,0.090996,0.259733,0.085155,1.043612,0.249248,0.006854,0.999919,0.027303
0.481962,0.124500,0.000852,0.602725,0.141013,0.151840,0.322963,0.103510,0.000935,0.832087,0.355995,0.008710,0.999922,0.024022
0.568224,0.000728,0.000548,0.472789,0.299453,0.042361,0.113653,0.338444,0.005890,1.118308,0.289762,0.002937,0.999989,0.010277
0.025409,0.000869,0.000622,0.052119,0.007069,0.114796,0.176564,0.140862,0.017722,0.690716,0.308632,0.001000,0.999999,0.003313
0.240904,0.046974,0.000556,0.161281,0.018193,0.066065,0.098361,0.118355,0.065382,0.810156,0.272251,0.018976,0.999410,0.065403
0.020161,0.000741,0.000768,0.121280,0.157166,0.090941,0.190383,0.133084,0.031493,0.618767,0.238598,0.003341,0.999975,0.014024
0.056306,0.000884,0.000939,0.051552,0.365130,0.313184,0.002501,0.498242,0.353198,0.531495,0.303755,0.001000,0.999998,0.003400
0.120052,0.001053,0.001527,0.180006,0.111066,0.124659,0.063512,0.253230,0.060615,0.505257,0.286803,0.001000,0.999998,0.003559
0.251283,0.001024,0.000511,0.245801,0.046190,0.059100,0.015276,0.187914,0.005353,1.095952,0.418931,0.004675,0.999989,0.011438
0.213463,0.000519,0.000948,0.126997,0.028840,0.003976,0.009736,0.165099,0.027303,0.685361,0.324413,0.001000,0.999999,0.003166
0.055877,0.000572,0.001297,0.171626,0.036192,0.038592,0.019718,0.149932,0.031472,0.530175,0.299871,0.001000,0.999998,0.003429
0.178187,0.001145,0.000742,0.147757,0.082043,0.148344,0.151642,0.251213,0.078586,0.655942,0.302763,0.001000,0.999998,0.003374
0.453927,0.043711,0.001391,0.476259,0.187372,0.106095,0.069671,0.237914,0.130272,0.764538,0.291903,0.002244,0.999992,0.007828
0.097338,0.000611,0.002111,0.139087,0.063297,0.096069,0.003913,0.127257,0.128430,0.653776,0.279111,0.001369,0.999997,0.005041
0.220881,0.000612,0.001576,0.235854,0.003358,0.002366,0.074359,0.211985,0.024188,0.618936,0.293916,0.001000,0.999998,0.003501
0.138125,0.000899,0.000613,0.102893,0.008696,0.103830,0.009054,0.111357,0.151936,0.658005,0.275194,0.001000,0.999998,0.003748
0.010549,0.000525,0.000857,0.003490,0.155041,0.055697,0.001098,0.244287,0.042977,0.570579,0.288536,0.028907,0.998901,0.089686
0.209393,0.000749,0.000772,0.232405,0.046424,0.049949,0.001590,0.325488,0.001329,0.584538,0.306729,0.002429,0.999991,0.008091
0.070383,0.000436,0.000784,0.093141,0.052377,0.057041,0.001630,0.212018,0.149464,0.854975,0.340180,0.001000,0.999999,0.003060
0.404174,0.000691,0.000808,0.372883,0.058256,0.065296,0.155839,0.243058,0.020121,0.752982,0.251192,0.001000,0.999998,0.004056
0.008728,0.002816,0.001464,0.081400,0.063546,0.023379,0.059206,0.110939,0.008115,0.731329,0.289064,0.001949,0.999995,0.006892
0.000672,0.004765,0.000768,0.074321,0.318121,0.120938,0.114012,0.382424,0.141584,0.603256,0.260445,0.005842,0.999934,0.022402
0.198855,0.003180,0.000833,0.183746,0.001742,0.063179,0.012442,0.078552,0.095973,0.923427,0.292059,0.001000,0.999999,0.003544
0.013413,0.002329,0.001013,0.075691,0.429527,0.065958,0.016931,0.410404,0.086066,0.617835,0.295487,0.001000,0.999999,0.003488
0.171827,0.094332,0.076845,0.103443,0.245352,0.001666,0.002865,0.264243,0.004801,0.507187,0.258256,0.020797,0.999093,0.074033
0.034248,0.000682,0.001556,0.022105,0.025707,0.011384,0.013538,0.073394,0.036196,0.521521,0.238741,0.001000,0.999997,0.004310
0.170160,0.002100,0.000918,0.172174,0.090771,0.032292,0.003283,0.219464,0.124812,0.717306,0.317676,0.001049,0.999999,0.003406
0.159950,0.000517,0.001060,0.136556,0.090392,0.032077,0.002043,0.322020,0.133125,0.745621,0.329308,0.001000,0.999999,0.003148
0.151576,0.000758,0.001519,0.272453,0.150804,0.005783,0.121766,0.160558,0.031389,0.775549,0.317301,0.001010,0.999999,0.003269
0.179764,0.001526,0.001940,0.215576,0.170393,0.065740,0.149585,0.357390,0.133575,0.629100,0.249879,0.001000,0.999998,0.004123
0.171927,0.000791,0.000946,0.277024,0.110447,0.213887,0.249597,0.191811,0.242767,0.634901,0.286907,0.010111,0.999828,0.034563
0.111562,0.054198,0.000622,0.031028,0.000711,0.181361,0.024004,0.217407,0.146710,0.745422,0.276188,0.037811,0.997961,0.119345
0.070380,0.000253,0.001784,0.004432,0.147096,0.136342,0.005164,0.228184,0.209431,0.656758,0.237770,0.001000,0.999998,0.004328
0.005965,0.000517,0.021722,0.213672,0.046323,0.001398,0.115787,0.182840,0.032212,0.528018,0.250020,0.001458,0.999995,0.005995
0.018650,0.001404,0.009556,0.122019,0.303486,0.114119,0.071337,0.228409,0.082907,0.741973,0.325135,0.001000,0.999999,0.003164
0.253265,0.000330,0.001190,0.310934,0.004603,0.012162,0.174103,0.005066,0.036854,0.629894,0.215848,0.022461,0.998723,0.093000
0.242627,0.000546,0.001467,0.229173,0.083736,0.053135,0.041617,0.169040,0.111409,0.649747,0.259697,0.001000,0.999998,0.003951
0.038625,0.001023,0.007660,0.127230,0.203133,0.112111,0.004269,0.284439,0.051398,0.387105,0.254496,0.007068,0.999891,0.027296
