time_s,E_in_raw,E_in_norm,S_entropy,S_entropy_norm,C_ent_alpha,C_ent_alpha_norm,dQCI_dt,QCI,QCI_smooth
27.498000,0.000000,0.194161,0.724889,0.724889,0.515981,0.515981,-0.336002,3.212553,3.487771
27.998000,0.000000,0.188140,0.701975,0.701975,0.616875,0.616875,-0.201414,3.044552,3.283025
28.498000,0.000000,0.148111,0.690617,0.690617,0.709623,0.709623,-0.127267,2.943845,3.104541
28.998000,0.000000,0.096499,0.697133,0.697133,0.643681,0.643681,-0.244975,2.880212,2.946185
29.498000,0.000000,0.078234,0.695741,0.695741,0.622035,0.622035,-0.271245,2.757724,2.807823
29.998000,0.000000,0.189116,0.717138,0.717138,0.608483,0.608483,-0.181749,2.622102,2.687236
30.498000,0.000000,0.175819,0.721645,0.721645,0.499949,0.499949,-0.299000,2.531227,2.593009
30.998000,0.000000,0.197780,0.725268,0.725268,0.575151,0.575151,-0.190510,2.381727,2.530667
31.498000,0.000000,0.170064,0.743437,0.743437,0.652958,0.652958,-0.149061,2.286472,2.484496
31.998000,0.000000,0.298540,0.715693,0.715693,0.755030,0.755030,0.116682,2.211942,2.445862
32.498000,0.000000,0.489750,0.693157,0.693157,0.732139,0.732139,0.301705,2.270283,2.415369
32.998000,0.000000,0.482103,0.687095,0.687095,0.569108,0.569108,0.122003,2.421135,2.399883
33.498000,0.000000,0.378228,0.681415,0.681415,0.574876,0.574876,0.023475,2.482137,2.393849
33.998000,0.000000,0.245881,0.686073,0.686073,0.607410,0.607410,-0.082170,2.493874,2.397000
34.498000,0.000000,0.188736,0.674428,0.674428,0.759876,0.759876,0.028905,2.452789,2.408736
34.998000,0.000000,0.210946,0.689810,0.689810,0.732886,0.732886,0.007298,2.467242,2.437197
35.498000,0.000000,0.266664,0.718128,0.718128,0.583237,0.583237,-0.115316,2.470891,2.471803
35.998000,0.000000,0.390869,0.723506,0.723506,0.555167,0.555167,-0.018793,2.413233,2.503342
36.498000,0.000000,0.510044,0.700838,0.700838,0.616604,0.616604,0.185426,2.403836,2.543949
36.998000,0.000000,0.509355,0.710740,0.710740,0.690624,0.690624,0.239583,2.496550,2.599003
37.498000,0.000000,0.505070,0.701379,0.701379,0.698308,0.698308,0.240364,2.616341,2.669997
37.998000,0.000000,0.597210,0.694137,0.694137,0.673944,0.673944,0.303365,2.736523,2.745681
38.498000,0.000000,0.589039,0.695648,0.695648,0.707863,0.707863,0.312433,2.888206,2.821509
38.998000,0.000000,0.500258,0.708355,0.708355,0.749141,0.749141,0.236602,3.044422,2.891035
39.498000,0.000000,0.379082,0.721697,0.721697,0.781612,0.781612,0.122725,3.162723,2.941389
39.998000,0.000000,0.333649,0.721593,0.721593,0.720524,0.720524,0.010171,3.224085,2.967211
40.498000,0.000000,0.243015,0.734523,0.734523,0.573061,0.573061,-0.241363,3.229171,2.976641
40.998000,0.000000,0.187735,0.723880,0.723880,0.444774,0.444774,-0.402220,3.108489,2.971928
41.498000,0.000000,0.247586,0.718068,0.718068,0.456007,0.456007,-0.305213,2.907379,2.956476
41.998000,0.000000,0.398167,0.715735,0.715735,0.504781,0.504781,-0.088264,2.754773,2.946713
42.498000,0.000000,0.372177,0.742959,0.742959,0.599341,0.599341,-0.042505,2.710640,2.955011
42.998000,0.000000,0.480248,0.729103,0.729103,0.606390,0.606390,0.088596,2.689388,2.989151
43.498000,0.000000,0.909992,0.703132,0.703132,0.492732,0.492732,0.426223,2.733686,3.056043
43.998000,0.000000,1.000000,0.663027,0.663027,0.555517,0.555517,0.597810,2.946797,3.137121
44.498000,0.000000,1.000000,0.650620,0.650620,0.614754,0.614754,0.639564,3.245702,3.218455
44.998000,0.000000,0.903014,0.649905,0.649905,0.768648,0.768648,0.665208,3.565484,3.305391
45.498000,0.000000,0.456310,0.681740,0.681740,0.657611,0.657611,0.042372,3.898089,3.393926
45.998000,0.000000,0.134528,0.705491,0.705491,0.565781,0.565781,-0.397109,3.919274,3.489491
46.498000,0.000000,0.295885,0.721396,0.721396,0.604409,0.604409,-0.193174,3.720720,3.584895
46.998000,0.000000,0.528904,0.729788,0.729788,0.507014,0.507014,-0.056284,3.624133,3.655550
47.498000,0.000000,0.670959,0.730670,0.730670,0.517393,0.517393,0.098084,3.595991,3.688656
47.998000,0.000000,0.558597,0.718187,0.718187,0.609482,0.609482,0.085388,3.645033,3.670090
48.498000,0.000000,0.365925,0.735584,0.735584,0.669677,0.669677,-0.068755,3.687727,3.600902
48.998000,0.000000,0.254424,0.730096,0.730096,0.687833,0.687833,-0.153174,3.653349,3.504488
49.498000,0.000000,0.158078,0.732066,0.732066,0.537778,0.537778,-0.393887,3.576762,3.408614
49.998000,0.000000,0.159905,0.749053,0.749053,0.579926,0.579926,-0.347204,3.379819,3.324569
50.498000,0.000000,0.112990,0.765045,0.765045,0.470499,0.470499,-0.502178,3.206217,3.253850
50.998000,0.000000,0.161671,0.785682,0.785682,0.533224,0.533224,-0.386300,2.955128,3.204227
51.498000,0.000000,0.478729,0.725579,0.725579,0.566456,0.566456,0.043409,2.761978,3.161110
51.998000,0.000000,0.622201,0.728091,0.728091,0.594501,0.594501,0.210243,2.783682,3.139103
52.498000,0.000000,0.899382,0.715475,0.715475,0.624978,0.624978,0.520005,2.888804,3.121697
52.998000,0.000000,0.706714,0.733468,0.733468,0.557129,0.557129,0.215494,3.148807,3.112057
53.498000,0.000000,0.773765,0.718166,0.718166,0.623507,0.623507,0.353451,3.256554,3.129377
