time_s,E_lag0.00,E_lag0.50,E_lag1.00,S_lag0.00,S_lag0.50,S_lag1.00,C_lag0.00,C_lag0.50,C_lag1.00,y,xhat_QCI,split
1.998000,-1.325723,0.727661,-0.330751,-0.123743,0.639874,-0.481337,-0.104294,0.050010,-0.851141,-0.323242,-0.322919,train
2.498000,-2.808923,-0.368567,-2.311732,-1.325723,0.727661,-0.330751,-0.123743,0.639874,-0.481337,-0.764988,-0.763488,train
2.998000,-3.302284,-0.228483,-3.597248,-2.808923,-0.368567,-2.311732,-1.325723,0.727661,-0.330751,-1.140758,-1.139107,train
3.498000,-3.274082,-0.096514,-3.120780,-3.302284,-0.228483,-3.597248,-2.808923,-0.368567,-2.311732,-1.749359,-1.745693,train
3.998000,-1.938901,0.868758,-0.555858,-3.274082,-0.096514,-3.120780,-3.302284,-0.228483,-3.597248,-1.199171,-1.200088,train
4.498000,-0.605050,1.184210,-1.291216,-1.938901,0.868758,-0.555858,-3.274082,-0.096514,-3.120780,-1.361906,-1.360221,train
4.998000,0.242451,1.267021,-0.340695,-0.605050,1.184210,-1.291216,-1.938901,0.868758,-0.555858,-0.331394,-0.334704,train
5.498000,0.078718,1.665969,0.104288,0.242451,1.267021,-0.340695,-0.605050,1.184210,-1.291216,-0.460773,-0.459467,train
5.998000,0.279797,1.439855,-0.423285,0.078718,1.665969,0.104288,0.242451,1.267021,-0.340695,0.627726,0.623719,train
6.498000,0.299596,0.641803,-0.685546,0.279797,1.439855,-0.423285,0.078718,1.665969,0.104288,0.639438,0.639033,train
6.998000,0.560092,0.003792,-0.198108,0.299596,0.641803,-0.685546,0.279797,1.439855,-0.423285,0.951432,0.950061,train
7.498000,0.222321,-0.340265,0.216585,0.560092,0.003792,-0.198108,0.299596,0.641803,-0.685546,0.774271,0.774665,train
7.998000,0.299112,0.038835,0.755677,0.222321,-0.340265,0.216585,0.560092,0.003792,-0.198108,1.521044,1.517298,train
8.498000,0.522399,-0.018338,0.392204,0.299112,0.038835,0.755677,0.222321,-0.340265,0.216585,1.507186,1.505825,train
8.998000,0.671409,0.123422,0.266856,0.522399,-0.018338,0.392204,0.299112,0.038835,0.755677,1.259831,1.259332,train
9.498000,0.318425,0.026147,-0.628361,0.671409,0.123422,0.266856,0.522399,-0.018338,0.392204,0.240722,0.243904,train
9.998000,-0.305879,0.049222,-0.788013,0.318425,0.026147,-0.628361,0.671409,0.123422,0.266856,0.499392,0.498066,train
10.498000,0.383893,-0.565826,0.191029,-0.305879,0.049222,-0.788013,0.318425,0.026147,-0.628361,0.804243,0.802515,train
10.998000,0.719743,-0.095455,0.164155,0.383893,-0.565826,0.191029,-0.305879,0.049222,-0.788013,1.725402,1.721132,train
11.498000,0.878889,0.138518,-1.493403,0.719743,-0.095455,0.164155,0.383893,-0.565826,0.191029,1.743618,1.741946,train
11.998000,0.102083,1.503697,-1.731406,0.878889,0.138518,-1.493403,0.719743,-0.095455,0.164155,1.618924,1.617748,train
12.498000,-0.008632,0.801852,-1.147420,0.102083,1.503697,-1.731406,0.878889,0.138518,-1.493403,1.504264,1.503225,train
12.998000,-0.983902,0.571876,0.017177,-0.008632,0.801852,-1.147420,0.102083,1.503697,-1.731406,1.425554,1.424336,train
13.498000,-0.867642,0.197904,0.617106,-0.983902,0.571876,0.017177,-0.008632,0.801852,-1.147420,1.649657,1.647277,train
13.998000,-1.013956,0.088304,0.979317,-0.867642,0.197904,0.617106,-0.983902,0.571876,0.017177,0.989892,0.990958,train
14.498000,-0.316959,-0.282464,0.297227,-1.013956,0.088304,0.979317,-0.867642,0.197904,0.617106,0.816652,0.816316,train
14.998000,-0.365498,0.177310,-0.092253,-0.316959,-0.282464,0.297227,-1.013956,0.088304,0.979317,-0.147248,-0.143926,train
15.498000,-0.372669,0.208455,-0.657171,-0.365498,0.177310,-0.092253,-0.316959,-0.282464,0.297227,0.155866,0.154878,train
15.998000,0.951312,-0.243423,-0.063353,-0.372669,0.208455,-0.657171,-0.365498,0.177310,-0.092253,0.528941,0.527170,train
16.498000,1.684986,-1.295537,0.681348,0.951312,-0.243423,-0.063353,-0.372669,0.208455,-0.657171,1.174637,1.172083,train
16.998000,1.888747,-1.892143,0.864202,1.684986,-1.295537,0.681348,0.951312,-0.243423,-0.063353,1.119029,1.118478,train
17.498000,1.618978,-1.185201,1.497769,1.888747,-1.892143,0.864202,1.684986,-1.295537,0.681348,0.683818,0.684744,train
17.998000,0.157102,0.388743,-0.194433,1.618978,-1.185201,1.497769,1.888747,-1.892143,0.864202,-2.015310,-2.005006,train
18.498000,0.266767,-0.182670,0.469580,0.157102,0.388743,-0.194433,1.618978,-1.185201,1.497769,-0.123935,-0.130660,train
18.998000,0.205385,-0.240626,-0.067857,0.266767,-0.182670,0.469580,0.157102,0.388743,-0.194433,0.046659,0.046055,train
19.498000,0.490083,-0.135770,0.720276,0.205385,-0.240626,-0.067857,0.266767,-0.182670,0.469580,0.384442,0.383052,train
19.998000,0.318693,0.515228,0.288489,0.490083,-0.135770,0.720276,0.205385,-0.240626,-0.067857,0.214844,0.215375,train
20.498000,0.329478,0.512929,0.547380,0.318693,0.515228,0.288489,0.490083,-0.135770,0.720276,0.875879,0.872762,train
20.998000,0.760317,0.141334,-0.057131,0.329478,0.512929,0.547380,0.318693,0.515228,0.288489,0.997026,0.995727,train
21.498000,1.258197,-0.222588,0.672576,0.760317,0.141334,-0.057131,0.329478,0.512929,0.547380,1.281121,1.279294,train
21.998000,0.938732,-0.142385,1.081744,1.258197,-0.222588,0.672576,0.760317,0.141334,-0.057131,0.885570,0.886509,train
22.498000,0.977232,-0.224421,0.558752,0.938732,-0.142385,1.081744,1.258197,-0.222588,0.672576,1.239418,1.237102,train
22.998000,0.939224,-0.500962,0.327723,0.977232,-0.224421,0.558752,0.938732,-0.142385,1.081744,1.013282,1.013062,train
23.498000,1.039001,-0.764100,-0.048379,0.939224,-0.500962,0.327723,0.977232,-0.224421,0.558752,1.349503,1.347359,train
23.998000,0.643387,-0.302025,-0.263702,1.039001,-0.764100,-0.048379,0.939224,-0.500962,0.327723,0.591173,0.593181,train
24.498000,-0.232998,0.879513,-1.122731,0.643387,-0.302025,-0.263702,1.039001,-0.764100,-0.048379,-0.286260,-0.283259,train
24.998000,-0.773950,0.975341,-1.248409,-0.232998,0.879513,-1.122731,0.643387,-0.302025,-0.263702,-1.804929,-1.798857,train
25.498000,-0.585839,0.572133,-1.663655,-0.773950,0.975341,-1.248409,-0.232998,0.879513,-1.122731,-2.529729,-2.525293,train
25.998000,-1.891903,-0.944786,-0.785877,-0.585839,0.572133,-1.663655,-0.773950,0.975341,-1.248409,-1.928273,-1.928144,train
26.498000,-1.801020,-0.670437,-0.964018,-1.891903,-0.944786,-0.785877,-0.585839,0.572133,-1.663655,-0.904534,-0.907191,train
26.998000,-2.435265,-0.499557,-2.737458,-1.801020,-0.670437,-0.964018,-1.891903,-0.944786,-0.785877,-0.425603,-0.426767,train
27.498000,-0.758465,0.247029,-2.005794,-2.435265,-0.499557,-2.737458,-1.801020,-0.670437,-0.964018,0.422262,0.418473,train
27.998000,-0.878793,-0.676410,-0.144619,-0.758465,0.247029,-2.005794,-2.435265,-0.499557,-2.737458,0.071340,0.072832,train
28.498000,-1.170325,-1.146903,-0.482672,-0.878793,-0.676410,-0.144619,-0.758465,0.247029,-2.005794,-0.287662,-0.286831,train
28.998000,-1.633138,-1.368650,-0.768446,-1.170325,-1.146903,-0.482672,-0.878793,-0.676410,-0.144619,-0.856672,-0.854487,train
29.498000,-2.001745,-1.216066,-0.303982,-1.633138,-1.368650,-0.768446,-1.170325,-1.146903,-0.482672,-1.233428,-1.231438,train
29.998000,-1.477394,0.094068,-0.279790,-2.001745,-1.216066,-0.303982,-1.633138,-1.368650,-0.768446,-1.235885,-1.235232,train
30.498000,-1.323469,0.374548,-1.020409,-1.477394,0.094068,-0.279790,-2.001745,-1.216066,-0.303982,-1.334968,-1.333837,train
30.998000,-0.825883,0.792220,-0.966994,-1.323469,0.374548,-1.020409,-1.477394,0.094068,-0.279790,-0.661608,-0.663665,train
31.498000,-0.168680,0.376300,0.749187,-0.825883,0.792220,-0.966994,-1.323469,0.374548,-1.020409,-0.528840,-0.528639,train
31.998000,-0.206567,-0.401612,1.661132,-0.168680,0.376300,0.749187,-0.825883,0.792220,-0.966994,-0.574475,-0.573643,train
32.498000,0.463590,-1.179555,1.506169,-0.206567,-0.401612,1.661132,-0.168680,0.376300,0.749187,-0.462876,-0.462927,train
32.998000,0.270742,-1.214947,0.366535,0.463590,-1.179555,1.506169,-0.206567,-0.401612,1.661132,-0.481049,-0.480266,train
33.498000,0.400514,-1.178270,-0.442731,0.270742,-1.214947,0.366535,0.463590,-1.179555,1.506169,-0.406592,-0.406426,train
33.998000,-0.225785,-0.648667,-0.557967,0.400514,-1.178270,-0.442731,0.270742,-1.214947,0.366535,-0.302942,-0.302926,train
34.498000,-0.248331,-0.795747,0.643214,-0.225785,-0.648667,-0.557967,0.400514,-1.178270,-0.442731,-0.528756,-0.527873,train
34.998000,0.309358,-0.582971,1.148479,-0.248331,-0.795747,0.643214,-0.225785,-0.648667,-0.557967,-0.510287,-0.510177,train
35.498000,0.267468,0.010345,0.914929,0.309358,-0.582971,1.148479,-0.248331,-0.795747,0.643214,0.589302,0.585138,train
35.998000,1.073583,0.091375,0.704743,0.267468,0.010345,0.914929,0.309358,-0.582971,1.148479,0.745448,0.743971,train
36.498000,0.573594,-0.374622,0.929423,1.073583,0.091375,0.704743,0.267468,0.010345,0.914929,0.556028,0.556314,train
36.998000,0.860506,-0.808897,1.185998,0.573594,-0.374622,0.929423,1.073583,0.091375,0.704743,0.047595,0.049110,train
37.498000,0.815783,-0.661958,1.513739,0.860506,-0.808897,1.185998,0.573594,-0.374622,0.929423,0.044618,0.044844,train
37.998000,1.440958,-1.176134,1.198736,0.815783,-0.661958,1.513739,0.860506,-0.808897,1.185998,0.101567,0.101318,train
38.498000,1.334416,-0.850362,1.064364,1.440958,-1.176134,1.198736,0.815783,-0.661958,1.513739,0.260789,0.260170,train
38.998000,0.903752,-0.519508,1.038917,1.334416,-0.850362,1.064364,1.440958,-1.176134,1.198736,0.265444,0.265290,train
39.498000,0.201515,0.022597,0.760449,0.903752,-0.519508,1.038917,1.334416,-0.850362,1.064364,0.482807,0.481428,train
39.998000,0.243500,-0.279611,1.412511,0.201515,0.022597,0.760449,0.903752,-0.519508,1.038917,0.347553,0.347306,train
40.498000,0.012001,-0.003685,-0.213747,0.243500,-0.279611,1.412511,0.201515,0.022597,0.760449,0.103352,0.103985,train
40.998000,-0.783381,-0.693535,-0.776852,0.012001,-0.003685,-0.213747,0.243500,-0.279611,1.412511,-0.197882,-0.196861,train
