alpha_0.00,alpha_0.50,alpha_1.00,beta_0.00,beta_0.50,beta_1.00,gamma_0.00,gamma_0.50,gamma_1.00,kappa,q,r,corr_test,rmse_test
0.581898,0.055742,0.000956,0.241081,0.340159,0.125536,0.007181,0.188367,0.000809,1.285052,0.548852,0.003177,0.999996,0.004372
0.390387,0.019167,0.001305,0.244146,0.160551,0.166960,0.165713,0.002570,0.001332,0.862006,0.464622,0.082629,0.997139,0.110901
0.480052,0.230270,0.029997,0.153379,0.243593,0.025089,0.001806,0.000940,0.000592,1.384064,0.497392,0.002678,0.999997,0.003991
0.628081,0.069265,0.003467,0.352796,0.069350,0.000731,0.002208,0.009486,0.038482,1.579758,0.586522,0.001056,1.000000,0.001338
0.484021,0.302533,0.002054,0.343718,0.237657,0.015423,0.002003,0.006378,0.000692,1.158948,0.543104,0.001000,1.000000,0.001347
0.319408,0.381405,0.006695,0.161248,0.392921,0.106320,0.157280,0.006339,0.000562,1.345679,0.552954,0.003127,0.999997,0.004265
0.733384,0.052671,0.017096,0.337127,0.242385,0.001002,0.002830,0.132504,0.002616,1.603817,0.505459,0.002207,0.999998,0.003274
0.649055,0.118428,0.002443,0.448389,0.212953,0.002915,0.121956,0.035231,0.058504,1.279468,0.588303,0.001692,0.999999,0.002150
0.536616,0.262223,0.000887,0.147132,0.314080,0.000873,0.001607,0.058434,0.091256,1.407857,0.484214,0.001000,0.999999,0.001548
0.781355,0.005114,0.001144,0.764997,0.375483,0.028320,0.294435,0.204995,0.000878,0.773216,0.196269,0.237455,0.948297,0.390053
0.576367,0.223827,0.104501,0.474158,0.003110,0.000899,0.001496,0.002784,0.011720,1.442204,0.502615,0.035709,0.999530,0.048123
0.324902,0.164737,0.002113,0.022606,0.210932,0.207186,0.012902,0.031471,0.002237,1.456622,0.683103,0.001295,1.000000,0.001442
0.679598,0.072519,0.001431,0.564908,0.159007,0.005189,0.001923,0.134273,0.000918,1.136299,0.612252,0.001000,1.000000,0.001201
0.715646,0.300908,0.024158,0.623121,0.136080,0.000919,0.002884,0.026097,0.007457,1.341906,0.582420,0.001186,1.000000,0.001480
0.461347,0.238616,0.001542,0.297917,0.229319,0.002046,0.001953,0.006181,0.001422,1.240608,0.656935,0.001044,1.000000,0.001169
0.395593,0.271521,0.000994,0.412726,0.440336,0.065171,0.001525,0.293873,0.001312,0.753928,0.455854,0.046698,0.998881,0.066411
0.707875,0.003323,0.001220,0.747575,0.191346,0.033961,0.302932,0.190247,0.001566,1.061785,0.494479,0.128162,0.994681,0.150695
0.456292,0.010315,0.026811,0.132936,0.008106,0.007294,0.006042,0.072315,0.000770,1.606732,0.551516,0.001699,0.999999,0.002332
0.422812,0.336049,0.002057,0.171380,0.298883,0.030119,0.039705,0.002497,0.000676,1.321064,0.610688,0.001786,0.999999,0.002171
0.673388,0.124261,0.001424,0.426718,0.326418,0.013615,0.128145,0.002805,0.000933,1.332488,0.604838,0.003939,0.999995,0.004910
0.749176,0.055652,0.001075,0.437655,0.239747,0.004842,0.070165,0.006059,0.001211,1.370650,0.707034,0.001083,1.000000,0.001154
0.399381,0.178768,0.001069,0.293672,0.130615,0.054179,0.001776,0.006252,0.002575,0.926569,0.560312,0.002913,0.999997,0.003790
0.449898,0.072694,0.001990,0.258139,0.168851,0.002860,0.005061,0.004189,0.001874,0.878106,0.455438,0.001000,0.999999,0.001629
0.686264,0.108696,0.001205,0.364788,0.137572,0.010572,0.003217,0.083390,0.000531,1.488591,0.389273,0.001133,0.999999,0.002153
0.441326,0.072766,0.000864,0.479426,0.166242,0.007222,0.131017,0.150445,0.025746,0.822781,0.619238,0.001000,1.000000,0.001206
0.267544,0.313286,0.001484,0.097467,0.386427,0.184893,0.025202,0.028423,0.001328,1.052013,0.573220,0.001000,1.000000,0.001305
0.629832,0.006137,0.005695,0.458703,0.108626,0.005596,0.002330,0.013045,0.000322,1.018806,0.560067,0.001000,1.000000,0.001319
0.604815,0.228828,0.011343,0.623215,0.247516,0.002199,0.001872,0.005611,0.001950,0.853727,0.460137,0.064120,0.998097,0.085698
0.335854,0.003502,0.001358,0.348964,0.167377,0.005794,0.011890,0.157000,0.000680,0.948581,0.634798,0.001323,1.000000,0.001554
0.605162,0.002554,0.000608,0.339208,0.239437,0.180057,0.003719,0.053018,0.001049,1.321785,0.619784,0.001304,1.000000,0.001601
0.709118,0.059443,0.000664,0.448810,0.293937,0.025979,0.001655,0.024409,0.000678,1.303465,0.456749,0.001859,0.999998,0.003054
0.754360,0.115383,0.003589,0.539083,0.342588,0.103566,0.002918,0.334845,0.000856,1.004994,0.519130,0.001274,0.999999,0.001838
0.601845,0.237801,0.001842,0.423589,0.288497,0.001154,0.002754,0.087017,0.001889,1.099351,0.535098,0.001000,1.000000,0.001372
0.445129,0.035534,0.001518,0.131018,0.384421,0.046437,0.004741,0.141063,0.002004,1.107303,0.582448,0.001297,0.999999,0.001700
0.412679,0.000969,0.000878,0.092213,0.336635,0.042378,0.002192,0.339432,0.000869,1.212201,0.538422,0.002763,0.999997,0.003942
0.919757,0.016594,0.000822,0.558304,0.327617,0.001101,0.002886,0.158485,0.001605,1.338629,0.482106,0.001000,0.999999,0.001566
0.736075,0.008826,0.009469,0.591612,0.269805,0.005375,0.001373,0.181461,0.001249,1.044023,0.491352,0.002312,0.999997,0.003500
0.804149,0.215846,0.000935,0.335399,0.348687,0.002454,0.002119,0.001749,0.001277,1.767025,0.587264,0.008869,0.999976,0.011218
0.488531,0.550807,0.002303,0.478439,0.231531,0.021789,0.002474,0.005132,0.000925,1.354122,0.576535,0.004105,0.999994,0.005185
0.237386,0.428662,0.010845,0.142126,0.326933,0.001521,0.001928,0.023592,0.001935,1.122292,0.695500,0.001000,1.000000,0.001060
0.813300,0.380872,0.001667,0.679196,0.436997,0.005006,0.003293,0.199374,0.000907,1.504482,0.703790,0.005561,0.999993,0.005806
0.358928,0.362275,0.001008,0.232799,0.469665,0.261925,0.122169,0.005377,0.004306,0.850145,0.341351,0.069816,0.996298,0.122689
0.878729,0.271527,0.001750,0.678648,0.122799,0.001349,0.110159,0.005888,0.002543,1.533356,0.501815,0.002072,0.999998,0.003038
0.532179,0.002808,0.006884,0.390499,0.022114,0.001327,0.001588,0.002957,0.001976,1.202961,0.513400,0.001439,0.999999,0.002067
0.491417,0.365431,0.001457,0.229841,0.206256,0.001418,0.001833,0.002666,0.000781,1.727620,0.482170,0.001000,1.000000,0.001542
0.599679,0.203413,0.005581,0.450185,0.121763,0.007010,0.010247,0.063687,0.000923,1.282194,0.515340,0.022592,0.999806,0.030502
0.641780,0.167543,0.041287,0.593777,0.250876,0.000940,0.001496,0.001264,0.000966,0.814820,0.412804,0.048935,0.998444,0.075159
0.435053,0.170387,0.001332,0.517021,0.249308,0.092881,0.001594,0.001366,0.140576,0.754796,0.519992,0.002981,0.999996,0.004186
0.665036,0.001501,0.001112,0.561733,0.231831,0.001549,0.080599,0.092988,0.002023,1.058101,0.559856,0.023034,0.999814,0.029376
0.745760,0.377377,0.000845,0.483975,0.450802,0.076294,0.004651,0.109170,0.002023,1.699898,0.573101,0.001529,0.999999,0.001992
0.822347,0.115701,0.000970,0.347610,0.272950,0.054507,0.005834,0.004635,0.001021,1.693538,0.570585,0.001371,0.999999,0.001810
0.631903,0.174250,0.001793,0.356863,0.244887,0.064911,0.004182,0.094283,0.001570,1.666442,0.574063,0.001105,1.000000,0.001439
0.863357,0.177806,0.002477,0.659589,0.216702,0.001209,0.001103,0.013721,0.001004,1.147610,0.343433,0.123931,0.990549,0.184755
0.888297,0.237503,0.000935,0.413247,0.191599,0.021532,0.004402,0.001022,0.000459,1.489797,0.450159,0.001000,0.999999,0.001647
0.381499,0.166203,0.001296,0.196604,0.489392,0.059892,0.003093,0.101674,0.003575,1.063961,0.631335,0.022031,0.999873,0.025443
0.586081,0.107402,0.001951,0.194957,0.183795,0.001243,0.012671,0.003469,0.005700,1.852694,0.647323,0.003923,0.999997,0.004573
0.689284,0.175380,0.096275,0.609669,0.064926,0.000795,0.001546,0.003619,0.000625,1.534328,0.492541,0.040136,0.999455,0.054694
0.715929,0.300694,0.001211,0.435770,0.232269,0.005827,0.003294,0.002439,0.001255,1.946335,0.517649,0.001598,0.999999,0.002298
0.726872,0.154239,0.009205,0.504160,0.348532,0.000751,0.036902,0.001427,0.002211,1.416034,0.575316,0.001027,1.000000,0.001345
0.843634,0.015044,0.001782,0.491058,0.182300,0.001444,0.003171,0.019621,0.044807,1.335677,0.494447,0.002626,0.999997,0.003949
0.857616,0.001814,0.002015,0.441846,0.185136,0.068039,0.002560,0.042813,0.000903,1.554267,0.601440,0.001266,1.000000,0.001583
