alpha_0.00,alpha_0.50,alpha_1.00,beta_0.00,beta_0.50,beta_1.00,gamma_0.00,gamma_0.50,gamma_1.00,kappa,q,r,corr_test,rmse_test
0.454069,0.232355,0.001498,0.319274,0.169005,0.133687,0.039870,0.035846,0.001231,1.129408,0.557287,0.001000,1.000000,0.001323
0.791006,0.011559,0.000789,0.581214,0.011492,0.006246,0.014244,0.004944,0.000898,1.357089,0.527135,0.001006,1.000000,0.001404
0.787683,0.031968,0.000859,0.303290,0.095765,0.041727,0.005775,0.001146,0.001512,1.593570,0.465881,0.040801,0.999258,0.059820
0.531529,0.022782,0.008846,0.358935,0.046735,0.000771,0.001833,0.017606,0.000580,1.192541,0.625841,0.001000,1.000000,0.001181
0.568333,0.007510,0.001019,0.514983,0.236358,0.155381,0.232287,0.106823,0.049172,0.740280,0.435793,0.078110,0.996701,0.110678
0.422528,0.009188,0.001071,0.335327,0.251088,0.005291,0.010850,0.062377,0.001013,0.922361,0.546458,0.006859,0.999982,0.009282
0.607219,0.145490,0.000809,0.587942,0.345932,0.003578,0.128744,0.043094,0.003579,1.246529,0.556426,0.004891,0.999992,0.006582
0.601686,0.215381,0.008085,0.729392,0.275235,0.119624,0.234907,0.117502,0.000952,0.893610,0.579262,0.001000,1.000000,0.001290
0.580064,0.002564,0.003070,0.327489,0.007188,0.030910,0.006458,0.074305,0.001148,1.161369,0.572360,0.001243,0.999999,0.001612
0.191864,0.228888,0.104683,0.078546,0.196429,0.087112,0.001763,0.076194,0.000573,1.094162,0.602742,0.001018,1.000000,0.001256
0.529180,0.001449,0.002035,0.396141,0.228675,0.000969,0.001065,0.095232,0.010419,0.981390,0.535765,0.002000,0.999998,0.002779
0.398883,0.096274,0.029214,0.459151,0.002697,0.004999,0.008840,0.068968,0.001529,0.796749,0.608959,0.001000,1.000000,0.001199
0.268680,0.084362,0.002117,0.003021,0.268010,0.275521,0.002234,0.084510,0.000690,1.146119,0.587978,0.002697,0.999998,0.003508
0.475449,0.273007,0.022836,0.391195,0.197486,0.003067,0.003618,0.001487,0.000935,1.299096,0.546356,0.001000,1.000000,0.001340
0.762807,0.083797,0.040895,0.494688,0.056452,0.002286,0.003523,0.007758,0.000114,1.457769,0.493859,0.001000,1.000000,0.001490
0.757073,0.049262,0.001529,0.356764,0.337299,0.001319,0.006343,0.120314,0.002994,1.547714,0.515476,0.005340,0.999989,0.007782
0.547640,0.017991,0.002528,0.247545,0.279412,0.004339,0.005267,0.002901,0.004787,1.425962,0.550927,0.002115,0.999999,0.002924
0.622165,0.003974,0.015842,0.446353,0.178774,0.001113,0.000919,0.080668,0.002071,1.398105,0.581426,0.011971,0.999962,0.015093
0.595745,0.332988,0.129666,0.413838,0.270827,0.001261,0.003405,0.047765,0.000767,1.719513,0.546662,0.001000,1.000000,0.001358
0.618358,0.006953,0.005042,0.553783,0.250902,0.000886,0.064219,0.036300,0.001544,1.013751,0.556897,0.004907,0.999991,0.006568
0.764951,0.007276,0.001308,0.470151,0.277737,0.062472,0.002038,0.299827,0.000968,1.093463,0.427569,0.157965,0.989906,0.193443
0.940543,0.175917,0.000613,0.613792,0.120276,0.009846,0.142167,0.001030,0.000741,1.682043,0.526935,0.001000,1.000000,0.001416
0.356424,0.011868,0.001516,0.116426,0.167349,0.010501,0.001971,0.092700,0.000504,1.118504,0.459228,0.001000,0.999999,0.001640
0.535234,0.394776,0.001666,0.501554,0.356532,0.050980,0.173599,0.010905,0.000722,1.223605,0.560957,0.002134,0.999998,0.002824
0.452670,0.011012,0.001713,0.326569,0.161548,0.000957,0.079488,0.002117,0.042779,1.184010,0.550441,0.011247,0.999959,0.015050
0.666008,0.052914,0.001720,0.507281,0.492479,0.002739,0.200217,0.269982,0.000991,1.052493,0.525754,0.002143,0.999998,0.003157
0.635140,0.003118,0.000845,0.363035,0.010395,0.049563,0.001640,0.002020,0.001657,1.212709,0.404926,0.118974,0.994046,0.162384
0.426368,0.006950,0.004320,0.222751,0.302654,0.064579,0.001622,0.088512,0.001013,1.158388,0.497107,0.001037,1.000000,0.001587
0.757310,0.449928,0.056927,0.514561,0.315800,0.016740,0.001830,0.003971,0.001101,1.792711,0.687835,0.003203,0.999998,0.003441
0.608014,0.158498,0.013358,0.020967,0.265108,0.098160,0.001234,0.001749,0.000600,1.608099,0.359801,0.001666,0.999998,0.003509
0.857925,0.053642,0.066440,0.447569,0.168496,0.003302,0.001494,0.001437,0.000615,1.972911,0.575487,0.005139,0.999993,0.006692
0.557739,0.228759,0.002027,0.184368,0.271576,0.057449,0.021105,0.103478,0.000887,1.580025,0.493978,0.002752,0.999997,0.004156
0.660938,0.068379,0.001995,0.477096,0.121735,0.097103,0.011619,0.006342,0.000526,1.108694,0.610110,0.002034,0.999999,0.002454
0.347524,0.197994,0.001756,0.132907,0.255914,0.001619,0.003335,0.001727,0.000755,1.164256,0.525225,0.001000,1.000000,0.001416
0.158453,0.164486,0.003229,0.108063,0.390520,0.220165,0.170746,0.169658,0.048041,0.982184,0.656898,0.001216,1.000000,0.001430
0.748744,0.266325,0.007311,0.530216,0.390449,0.001284,0.023262,0.095807,0.002196,1.285555,0.632127,0.001892,0.999999,0.002217
0.832884,0.080633,0.001142,0.334673,0.390593,0.040384,0.002213,0.085368,0.000714,1.706447,0.619603,0.001611,0.999999,0.001988
0.786691,0.241339,0.008209,0.706516,0.164512,0.004678,0.153413,0.001635,0.002179,1.297328,0.419358,0.076826,0.997077,0.110978
0.497198,0.020293,0.001110,0.258561,0.288002,0.122780,0.011364,0.089823,0.000664,1.095454,0.562547,0.002081,0.999998,0.002794
