time_s,E_lag0.00,E_lag0.50,E_lag1.00,S_lag0.00,S_lag0.50,S_lag1.00,C_lag0.00,C_lag0.50,C_lag1.00,y,xhat_QCI,split
1.998000,-0.116365,-0.057951,-0.191736,-0.226921,-0.007486,0.160898,-0.421571,-0.602711,0.560443,0.226058,0.225832,train
2.498000,-0.372337,1.359701,-0.628458,-0.116365,-0.057951,-0.191736,-0.226921,-0.007486,0.160898,-0.038340,-0.037996,train
2.998000,0.490488,0.939958,-0.607231,-0.372337,1.359701,-0.628458,-0.116365,-0.057951,-0.191736,0.615492,0.614142,train
3.498000,0.312684,0.392712,0.336427,0.490488,0.939958,-0.607231,-0.372337,1.359701,-0.628458,-0.022394,-0.021264,train
3.998000,0.096400,0.003632,0.952876,0.312684,0.392712,0.336427,0.490488,0.939958,-0.607231,-0.093821,-0.093731,train
4.498000,-1.142038,-0.264990,0.913880,0.096400,0.003632,0.952876,0.312684,0.392712,0.336427,-1.857114,-1.853364,train
4.998000,-0.959250,-0.485463,0.655504,-1.142038,-0.264990,0.913880,0.096400,0.003632,0.952876,-1.384036,-1.384242,train
5.498000,-0.580851,-0.031781,0.287503,-0.959250,-0.485463,0.655504,-1.142038,-0.264990,0.913880,-2.037929,-2.035508,train
5.998000,-0.429992,-0.072611,-0.001161,-0.580851,-0.031781,0.287503,-0.959250,-0.485463,0.655504,-1.524196,-1.523411,train
6.498000,-0.760815,0.204897,-0.284671,-0.429992,-0.072611,-0.001161,-0.580851,-0.031781,0.287503,-2.372705,-2.369627,train
6.998000,-1.220964,-0.350470,-0.493313,-0.760815,0.204897,-0.284671,-0.429992,-0.072611,-0.001161,-2.247728,-2.246194,train
7.498000,-0.775093,0.234472,-1.181733,-1.220964,-0.350470,-0.493313,-0.760815,0.204897,-0.284671,-1.305690,-1.306342,train
7.998000,-0.165055,0.640374,-0.864335,-0.775093,0.234472,-1.181733,-1.220964,-0.350470,-0.493313,-0.416843,-0.417499,train
8.498000,0.945355,1.230153,-0.526961,-0.165055,0.640374,-0.864335,-0.775093,0.234472,-1.181733,0.486658,0.485321,train
8.998000,1.060675,1.487097,-1.106704,0.945355,1.230153,-0.526961,-0.165055,0.640374,-0.864335,0.602417,0.602491,train
9.498000,1.244694,1.319221,-0.346951,1.060675,1.487097,-1.106704,0.945355,1.230153,-0.526961,0.846777,0.846022,train
