,E_in_norm,S_entropy_norm,C_ent_alpha_norm,dQCI_dt,QCI_smooth
E_in_norm,1.0000,0.0463,0.2892,0.8622,0.2585
S_entropy_norm,0.0463,1.0000,-0.0103,-0.1541,0.0599
C_ent_alpha_norm,0.2892,-0.0103,1.0000,0.5603,0.0988
dQCI_dt,0.8622,-0.1541,0.5603,1.0000,-0.1007
QCI_smooth,0.2585,0.0599,0.0988,-0.1007,1.0000
