time_s,E_in_raw,E_in_norm,S_entropy,S_entropy_norm,C_ent_alpha,C_ent_alpha_norm,dQCI_dt,QCI,QCI_smooth
0.998000,0.000000,0.241385,0.696953,0.696953,0.809963,0.809963,0.354395,0.000000,0.154008
1.498000,0.000000,0.313839,0.723693,0.723693,0.792746,0.792746,0.365173,0.177198,0.204694
1.998000,0.000000,0.345998,0.719750,0.719750,0.759536,0.759536,0.349806,0.359784,0.257168
2.498000,0.000000,0.113250,0.767414,0.767414,0.575079,0.575079,-0.132553,0.534687,0.321237
2.998000,0.000000,0.205400,0.739706,0.739706,0.658052,0.658052,0.076905,0.468411,0.378454
3.498000,0.000000,0.142120,0.715245,0.715245,0.659557,0.659557,0.035745,0.506863,0.427169
3.998000,0.000000,0.168080,0.670304,0.670304,0.786609,0.786609,0.231911,0.524736,0.461284
4.498000,0.000000,0.017903,0.652722,0.652722,0.561839,0.561839,-0.137049,0.640692,0.465708
4.998000,0.000000,0.041455,0.659752,0.659752,0.505483,0.505483,-0.170031,0.572167,0.446057
5.498000,0.000000,0.018001,0.715522,0.715522,0.454233,0.454233,-0.292002,0.487152,0.407205
5.998000,0.000000,0.019744,0.710258,0.710258,0.485199,0.485199,-0.239431,0.341150,0.374550
6.498000,0.000000,0.000000,0.727163,0.727163,0.632989,0.632989,-0.116318,0.221435,0.343494
6.998000,0.000000,0.001584,0.687026,0.687026,0.667551,0.667551,-0.034218,0.163276,0.323228
7.498000,0.000000,0.065241,0.694238,0.694238,0.635009,0.635009,-0.008604,0.146167,0.299759
7.998000,0.000000,0.190214,0.706557,0.706557,0.639397,0.639397,0.108867,0.141865,0.292135
8.498000,0.000000,0.372895,0.746230,0.746230,0.644523,0.644523,0.251558,0.196298,0.302186
8.998000,0.000000,0.328870,0.774228,0.774228,0.645413,0.645413,0.167848,0.322077,0.334169
9.498000,0.000000,0.336683,0.771118,0.771118,0.654902,0.654902,0.179867,0.406001,0.395993
9.998000,0.000000,0.290350,0.748940,0.748940,0.691623,0.691623,0.183440,0.495934,0.469098
10.498000,0.000000,0.335377,0.730618,0.730618,0.600673,0.600673,0.146667,0.587654,0.551368
10.998000,0.000000,0.473923,0.750533,0.750533,0.700072,0.700072,0.357363,0.660988,0.625279
11.498000,0.000000,0.361517,0.765866,0.765866,0.597635,0.597635,0.109320,0.839669,0.708913
11.998000,0.000000,0.272570,0.770390,0.770390,0.736332,0.736332,0.149079,0.894329,0.827503
12.498000,0.000000,0.021241,0.580855,0.580855,0.480705,0.480705,-0.175795,0.968868,0.985450
12.998000,0.000000,0.229323,0.591788,0.591788,0.753891,0.753891,0.303329,0.880971,1.165698
13.498000,0.000000,0.909865,0.661531,0.661531,0.805609,0.805609,0.950679,1.032635,1.329259
13.998000,0.000000,0.996508,0.697995,0.697995,0.807286,0.807286,0.955002,1.507975,1.473004
14.498000,0.000000,0.742327,0.713432,0.713432,0.795535,0.795535,0.625882,1.985476,1.590406
14.998000,0.000000,0.109019,0.733862,0.733862,0.704371,0.704371,-0.150313,2.298417,1.698468
15.498000,0.000000,0.020120,0.743412,0.743412,0.695975,0.695975,-0.249643,2.223260,1.796126
15.998000,0.000000,0.037770,0.719725,0.719725,0.722298,0.722298,-0.169500,2.098439,1.896892
16.498000,0.000000,0.074929,0.739013,0.739013,0.787984,0.787984,-0.077469,2.013688,1.974014
16.998000,0.000000,0.068149,0.737268,0.737268,0.807598,0.807598,-0.059016,1.974954,1.995765
17.498000,0.000000,0.051052,0.734874,0.734874,0.764729,0.764729,-0.113638,1.945446,1.966541
17.998000,0.000000,0.000000,0.689522,0.689522,0.708848,0.708848,-0.169537,1.888627,1.953337
18.498000,0.000000,0.000000,0.625337,0.625337,0.648979,0.648979,-0.156744,1.803858,1.994288
18.998000,0.000000,0.142461,0.658581,0.658581,0.624156,0.624156,-0.064512,1.725486,2.090659
19.498000,0.000000,0.918311,0.644195,0.644195,0.841512,0.841512,0.946304,1.693230,2.232658
19.998000,0.000000,1.000000,0.664754,0.664754,0.814162,0.814162,0.932770,2.166382,2.412168
