time_s,E_in_raw,E_in_norm,S_entropy,S_entropy_norm,C_ent_alpha,C_ent_alpha_norm,dQCI_dt,QCI,QCI_smooth
0.998000,0.000000,0.071495,0.688093,0.688093,0.640455,0.640455,0.023857,0.000000,0.065861
1.498000,0.000000,0.152021,0.717693,0.717693,0.743894,0.743894,0.177029,0.011929,0.108191
1.998000,0.000000,0.146853,0.736483,0.736483,0.838183,0.838183,0.238509,0.100443,0.151829
2.498000,0.000000,0.208077,0.770796,0.770796,0.798367,0.798367,0.213678,0.219698,0.203287
2.998000,0.000000,0.217543,0.753552,0.753552,0.762201,0.762201,0.193539,0.326537,0.261135
3.498000,0.000000,0.110686,0.710423,0.710423,0.668202,0.668202,0.026135,0.423306,0.322992
3.998000,0.000000,0.218311,0.717601,0.717601,0.699350,0.699350,0.156423,0.436373,0.388984
4.498000,0.000000,0.199298,0.744261,0.744261,0.724211,0.724211,0.127790,0.514585,0.454305
4.998000,0.000000,0.190686,0.750374,0.750374,0.697718,0.697718,0.080182,0.578480,0.522413
5.498000,0.000000,0.103003,0.651482,0.651482,0.693030,0.693030,0.082694,0.618571,0.584842
5.998000,0.000000,0.077730,0.663607,0.663607,0.662319,0.662319,0.010450,0.659918,0.640824
6.498000,0.000000,0.210163,0.691120,0.691120,0.780216,0.780216,0.232745,0.665143,0.683174
6.998000,0.000000,0.201363,0.770761,0.770761,0.772491,0.772491,0.124941,0.781516,0.741381
7.498000,0.000000,0.160441,0.740715,0.740715,0.749434,0.749434,0.084760,0.843986,0.816391
7.998000,0.000000,0.074059,0.752816,0.752816,0.688259,0.688259,-0.079134,0.886366,0.913065
8.498000,0.000000,0.264323,0.622579,0.622579,0.786230,0.786230,0.343293,0.846799,1.016124
8.998000,0.000000,0.421047,0.603191,0.603191,0.776465,0.776465,0.492476,1.018446,1.119019
9.498000,0.000000,0.501816,0.588807,0.588807,0.774533,0.774533,0.561073,1.264684,1.228434
9.998000,0.000000,0.364899,0.661047,0.661047,0.658546,0.658546,0.207876,1.545220,1.337864
10.498000,0.000000,0.253724,0.724360,0.724360,0.714976,0.714976,0.079423,1.649158,1.459053
10.998000,0.000000,0.268188,0.762002,0.762002,0.803547,0.803547,0.140846,1.688870,1.587450
11.498000,0.000000,0.365765,0.749290,0.749290,0.792498,0.792498,0.233043,1.759293,1.730862
11.998000,0.000000,0.473673,0.757106,0.757106,0.831148,0.831148,0.360134,1.875814,1.855881
12.498000,0.000000,0.440555,0.733394,0.733394,0.727340,0.727340,0.228913,2.055881,1.945452
