time_s,E_lag0.00,E_lag0.50,E_lag1.00,S_lag0.00,S_lag0.50,S_lag1.00,C_lag0.00,C_lag0.50,C_lag1.00,y,xhat_QCI,split
1.998000,-0.354395,0.455283,0.371430,0.388059,-0.000811,0.734910,0.363119,-0.502786,0.579718,0.485349,0.484865,train
2.498000,-0.000327,0.978656,0.580908,-0.354395,0.455283,0.371430,0.388059,-0.000811,0.734910,0.361431,0.361244,train
2.998000,0.567209,0.813133,0.295015,-0.000327,0.978656,0.580908,-0.354395,0.455283,0.371430,0.137943,0.138690,train
3.498000,0.231484,0.209345,-0.847367,0.567209,0.813133,0.295015,-0.000327,0.978656,0.580908,-0.832922,-0.829842,train
3.998000,0.845313,0.260653,-0.739065,0.231484,0.209345,-0.847367,0.567209,0.813133,0.295015,0.208528,0.205873,train
4.498000,0.716926,0.415834,-0.260621,0.845313,0.260653,-0.739065,0.231484,0.209345,-0.847367,0.431304,0.430707,train
4.998000,0.777154,0.634672,0.299496,0.716926,0.415834,-0.260621,0.845313,0.260653,-0.739065,0.587459,0.586533,train
5.498000,-0.176072,-1.039564,0.668014,0.777154,0.634672,0.299496,0.716926,0.415834,-0.260621,-0.531996,-0.529105,train
5.998000,-0.323747,-0.834817,0.713055,-0.176072,-1.039564,0.668014,0.777154,0.634672,0.299496,-0.539352,-0.539472,train
6.498000,0.125840,-0.336685,1.050210,-0.323747,-0.834817,0.713055,-0.176072,-1.039564,0.668014,0.274313,0.272246,train
6.998000,0.585479,0.763262,0.830526,0.125840,-0.336685,1.050210,-0.323747,-0.834817,0.713055,0.353492,0.353053,train
7.498000,0.399940,0.547495,0.776155,0.585479,0.763262,0.830526,0.125840,-0.336685,1.050210,-0.219451,-0.217964,train
7.998000,0.035545,0.442206,0.793830,0.399940,0.547495,0.776155,0.585479,0.763262,0.830526,-0.836936,-0.835169,train
8.498000,0.087782,-1.429036,1.108068,0.035545,0.442206,0.793830,0.399940,0.547495,0.776155,-0.612870,-0.613045,train
8.998000,-0.090959,-2.024920,1.113985,0.087782,-1.429036,1.108068,0.035545,0.442206,0.793830,-0.139549,-0.140685,train
9.498000,-0.111940,-2.276919,0.940576,-0.090959,-2.024920,1.113985,0.087782,-1.429036,1.108068,0.008274,0.007686,train
9.998000,-0.116083,-1.213318,-0.487228,-0.111940,-2.276919,0.940576,-0.090959,-2.024920,1.113985,0.192093,0.191050,train
10.498000,0.020821,0.098556,-0.076342,-0.116083,-1.213318,-0.487228,-0.111940,-2.276919,0.940576,0.278751,0.277927,train
10.998000,0.346489,1.078409,0.652865,0.020821,0.098556,-0.076342,-0.116083,-1.213318,-0.487228,-0.073050,-0.072474,train
11.498000,0.146913,0.508211,1.189766,0.346489,1.078409,0.652865,0.020821,0.098556,-0.076342,0.185900,0.185145,train
11.998000,0.423498,0.621425,1.346325,0.146913,0.508211,1.189766,0.346489,1.078409,0.652865,0.551554,0.550289,train
12.498000,0.686343,0.258138,1.156208,0.423498,0.621425,1.346325,0.146913,0.508211,1.189766,0.930608,0.929410,train
12.998000,0.433464,0.157843,1.022128,0.686343,0.258138,1.156208,0.423498,0.621425,1.346325,0.414947,0.415962,train
13.498000,-0.081898,-0.142018,0.758137,0.433464,0.157843,1.022128,0.686343,0.258138,1.156208,-0.296514,-0.294767,train
13.998000,-0.919011,0.429746,0.276728,-0.081898,-0.142018,0.758137,0.433464,0.157843,1.022128,-0.971261,-0.969265,train
14.498000,-0.499231,0.808156,0.693768,-0.919011,0.429746,0.276728,-0.081898,-0.142018,0.758137,-2.130272,-2.126270,train
14.998000,-0.093195,1.023606,0.597748,-0.499231,0.808156,0.693768,-0.919011,0.429746,0.276728,-1.072811,-1.074266,train
15.498000,0.564942,0.493426,0.511863,-0.093195,1.023606,0.597748,-0.499231,0.808156,0.693768,-0.214236,-0.215749,train
15.998000,1.028809,1.199331,0.800874,0.564942,0.493426,0.511863,-0.093195,1.023606,0.597748,0.051678,0.051339,train
16.498000,1.334743,1.086699,0.944894,1.028809,1.199331,0.800874,0.564942,0.493426,0.511863,0.497790,0.496645,train
16.998000,0.962000,0.611074,0.850137,1.334743,1.086699,0.944894,1.028809,1.199331,0.800874,0.483713,0.483397,train
17.498000,0.999157,0.719372,1.181327,0.962000,0.611074,0.850137,1.334743,1.086699,0.944894,0.761145,0.759826,train
17.998000,0.949810,0.798992,0.430821,0.999157,0.719372,1.181327,0.962000,0.611074,0.850137,0.194315,0.195529,train
18.498000,1.557864,0.960855,0.709333,0.949810,0.798992,0.430821,0.999157,0.719372,1.181327,0.211860,0.211570,train
18.998000,1.480367,1.078909,0.055277,1.557864,0.960855,0.709333,0.949810,0.798992,0.430821,0.193369,0.193336,train
19.498000,1.383490,-0.054783,0.315063,1.480367,1.078909,0.055277,1.557864,0.960855,0.709333,1.553163,1.548753,train
19.998000,0.703798,-0.870376,0.597979,1.383490,-0.054783,0.315063,1.480367,1.078909,0.055277,1.487775,1.486718,train
20.498000,0.243136,-0.843391,1.016400,0.703798,-0.870376,0.597979,1.383490,-0.054783,0.315063,1.267741,1.267049,train
20.998000,0.113834,-0.646939,0.793462,0.243136,-0.843391,1.016400,0.703798,-0.870376,0.597979,0.605091,0.605915,train
21.498000,0.024045,-0.542087,0.672735,0.113834,-0.646939,0.793462,0.243136,-0.843391,1.016400,0.193821,0.194372,train
21.998000,0.735989,-0.799083,0.674697,0.024045,-0.542087,0.672735,0.113834,-0.646939,0.793462,0.879757,0.877345,train
22.498000,-0.116864,-0.043142,-0.750359,0.735989,-0.799083,0.674697,0.024045,-0.542087,0.672735,0.421489,0.422236,train
