alpha_0.00,alpha_0.50,alpha_1.00,beta_0.00,beta_0.50,beta_1.00,gamma_0.00,gamma_0.50,gamma_1.00,kappa,q,r,corr_test,rmse_test
0.103083,0.002908,0.060292,0.287137,0.000932,0.001175,0.001023,0.243613,0.161922,0.578103,0.481986,0.001000,0.999999,0.001516
0.002753,0.015305,0.003110,0.194255,0.001934,0.038982,0.001032,0.067618,0.001186,0.598445,0.394614,0.001477,0.999998,0.002722
0.001352,0.396053,0.024617,0.209000,0.001824,0.001059,0.000654,0.110209,0.054104,0.612416,0.363498,0.001472,0.999997,0.003120
0.180477,0.026709,0.016512,0.319226,0.035779,0.002346,0.000710,0.031589,0.002791,0.734366,0.396641,0.001000,0.999999,0.001823
0.152683,0.113598,0.002154,0.277769,0.000770,0.005555,0.001977,0.065933,0.000601,0.671902,0.399814,0.001000,0.999999,0.001819
0.151863,0.123512,0.001411,0.181035,0.003768,0.135470,0.001421,0.044864,0.114584,0.768438,0.452449,0.001000,0.999999,0.001620
0.072427,0.204543,0.001485,0.420908,0.004755,0.063588,0.001203,0.040672,0.001085,0.473074,0.427049,0.001000,0.999999,0.001767
0.099335,0.397558,0.001755,0.379583,0.124209,0.000829,0.001252,0.062623,0.023970,0.440102,0.448892,0.001000,0.999999,0.001687
0.100298,0.053401,0.001509,0.392954,0.000939,0.114384,0.000724,0.130878,0.004006,0.752678,0.484915,0.001000,1.000000,0.001614
0.183676,0.128413,0.009638,0.465671,0.009555,0.002005,0.001290,0.010200,0.069436,0.486590,0.457119,0.001000,0.999999,0.001587
0.010623,0.311456,0.001305,0.399024,0.013682,0.000944,0.000829,0.001927,0.001914,0.394541,0.427418,0.001000,0.999999,0.001757
0.190696,0.037858,0.015978,0.468729,0.002710,0.001568,0.000498,0.162260,0.015731,0.491922,0.527713,0.001000,0.999999,0.001398
0.178991,0.001703,0.002221,0.427252,0.001474,0.000947,0.000550,0.098647,0.001502,0.677660,0.392067,0.001000,0.999999,0.001889
0.001208,0.167409,0.000714,0.338187,0.002545,0.021822,0.000624,0.040001,0.002241,0.622275,0.419454,0.001000,0.999999,0.001791
0.365123,0.012524,0.119893,0.352487,0.001124,0.000672,0.000308,0.222551,0.002117,0.719330,0.392597,0.001000,0.999999,0.001868
0.103818,0.019433,0.157607,0.356622,0.002762,0.001195,0.000707,0.031348,0.001821,0.606449,0.492561,0.001000,0.999999,0.001453
0.002426,0.156916,0.000902,0.332151,0.002420,0.016077,0.000682,0.085943,0.001180,0.540059,0.382197,0.001000,0.999999,0.001951
0.003561,0.025950,0.141650,0.385755,0.001375,0.001324,0.000761,0.273868,0.002899,0.456234,0.438595,0.001000,0.999999,0.001714
0.277775,0.102749,0.013641,0.438841,0.003294,0.038113,0.002128,0.211314,0.000497,0.761860,0.427743,0.001000,0.999999,0.001788
0.071661,0.024757,0.001894,0.461179,0.001235,0.063013,0.001069,0.242960,0.201649,0.384036,0.429069,0.004002,0.999986,0.006903
0.039850,0.150968,0.000641,0.440784,0.004210,0.001665,0.000735,0.049215,0.086270,0.926001,0.371702,0.001000,0.999999,0.002108
0.001339,0.001827,0.052279,0.145430,0.001282,0.000833,0.000705,0.114888,0.006912,0.495913,0.365109,0.001858,0.999996,0.003616
0.309081,0.040836,0.001015,0.438908,0.002871,0.012651,0.002294,0.061789,0.056292,0.779344,0.455305,0.001000,0.999999,0.001607
0.112789,0.058195,0.064574,0.385956,0.001049,0.000714,0.001179,0.057989,0.019388,0.490755,0.507558,0.001000,0.999999,0.001416
0.156291,0.231904,0.046875,0.385417,0.001154,0.001675,0.001694,0.004572,0.048413,0.439474,0.384559,0.019421,0.999622,0.034239
0.002993,0.079770,0.002682,0.215338,0.001147,0.001478,0.000329,0.109195,0.001586,0.571889,0.367519,0.001000,0.999999,0.001986
0.007295,0.079278,0.000601,0.277044,0.001746,0.197121,0.002149,0.002367,0.119404,0.341114,0.399007,0.001000,0.999999,0.001839
0.104640,0.114663,0.001354,0.574585,0.002877,0.001590,0.000635,0.033125,0.000779,0.354281,0.444632,0.001000,0.999999,0.001689
0.060871,0.255044,0.003850,0.221265,0.002086,0.002980,0.001218,0.038207,0.041919,0.535198,0.359581,0.001000,0.999999,0.002037
0.224439,0.076181,0.001470,0.321800,0.004198,0.000650,0.002712,0.033451,0.018270,0.667736,0.364421,0.001000,0.999999,0.001969
0.126716,0.133335,0.000917,0.237299,0.000957,0.001629,0.000579,0.141727,0.001435,0.589523,0.315031,0.001000,0.999999,0.002327
0.178864,0.002780,0.002529,0.278158,0.001169,0.000981,0.000287,0.066293,0.001264,0.692049,0.371670,0.001000,0.999999,0.001933
0.110487,0.001720,0.098284,0.570870,0.003519,0.001407,0.000819,0.202376,0.019535,0.635832,0.422798,0.001000,0.999999,0.001826
0.103303,0.001806,0.002097,0.432054,0.002855,0.002555,0.001259,0.308158,0.000725,0.534053,0.375615,0.001000,0.999999,0.002044
0.044174,0.076416,0.007266,0.350246,0.009452,0.001393,0.001153,0.136739,0.001037,0.515819,0.421899,0.001000,0.999999,0.001751
0.199527,0.089210,0.000992,0.235114,0.001172,0.028645,0.001055,0.011857,0.001371,0.557843,0.442113,0.004300,0.999986,0.006866
0.010912,0.183559,0.129361,0.288507,0.000812,0.007315,0.000933,0.184339,0.000233,0.653331,0.364595,0.001000,0.999999,0.002061
0.343036,0.057699,0.002514,0.501658,0.001591,0.012605,0.000203,0.137933,0.001456,0.837663,0.473908,0.001000,0.999999,0.001600
0.018279,0.112664,0.207019,0.347072,0.000992,0.000493,0.000528,0.103950,0.022431,0.603323,0.442829,0.001000,0.999999,0.001647
0.440902,0.177706,0.000538,0.500654,0.002644,0.004406,0.000981,0.118674,0.056889,0.670107,0.419822,0.001000,0.999999,0.001791
0.224206,0.027562,0.001190,0.194948,0.000920,0.039919,0.000525,0.206999,0.001088,1.121257,0.397875,0.001000,0.999999,0.001930
0.003613,0.070862,0.001450,0.054265,0.002850,0.090674,0.000720,0.022547,0.000536,0.690165,0.419738,0.001000,0.999999,0.001741
0.119675,0.144351,0.001212,0.188702,0.000676,0.080457,0.001380,0.138187,0.002592,0.652596,0.448255,0.001000,0.999999,0.001667
0.100411,0.103369,0.001102,0.451198,0.004333,0.001368,0.000257,0.108060,0.130033,0.576234,0.392807,0.001000,0.999999,0.001878
0.224182,0.213801,0.004161,0.273831,0.002698,0.000703,0.000626,0.009150,0.065215,0.970496,0.420318,0.001000,0.999999,0.001764
0.672976,0.017451,0.001027,0.554750,0.002765,0.003741,0.000815,0.170322,0.046673,1.124159,0.420780,0.001000,0.999999,0.001818
0.255951,0.345803,0.001028,0.272354,0.018323,0.062398,0.001045,0.002173,0.001354,0.521122,0.373739,0.001000,0.999999,0.002037
0.229414,0.075845,0.000789,0.303584,0.001575,0.017523,0.000524,0.196576,0.000742,0.891011,0.423964,0.001000,0.999999,0.001784
0.116241,0.147967,0.001321,0.434106,0.000948,0.003742,0.003245,0.002139,0.001002,0.385266,0.409506,0.001000,0.999999,0.001782
0.210764,0.143774,0.001099,0.274913,0.000937,0.007938,0.000430,0.124060,0.001484,0.643551,0.424809,0.001000,0.999999,0.001730
0.030842,0.201353,0.069830,0.383120,0.014442,0.002057,0.000753,0.025742,0.001095,0.499276,0.455012,0.001606,0.999998,0.002586
0.025302,0.086675,0.048425,0.348963,0.003866,0.001770,0.001194,0.059193,0.051692,0.666720,0.403742,0.001000,0.999999,0.001821
0.004179,0.002043,0.006601,0.096323,0.003028,0.076525,0.002145,0.099223,0.001306,0.582608,0.428366,0.001891,0.999998,0.003206
0.129783,0.247921,0.000881,0.427432,0.001601,0.002495,0.001326,0.015668,0.102881,0.587662,0.446057,0.001000,0.999999,0.001661
0.403640,0.129546,0.001502,0.501515,0.003332,0.000962,0.000278,0.036704,0.239010,0.884356,0.423216,0.001000,0.999999,0.001744
0.028052,0.252987,0.002796,0.333953,0.033439,0.002705,0.000535,0.002733,0.003313,0.483127,0.429887,0.001000,0.999999,0.001714
0.148480,0.003955,0.062645,0.433698,0.001568,0.001545,0.001583,0.143620,0.011287,0.592656,0.439494,0.001011,0.999999,0.001691
0.005059,0.113078,0.000618,0.594344,0.002607,0.002471,0.000698,0.097894,0.001532,0.340879,0.390988,0.020086,0.999653,0.036928
0.216094,0.001276,0.002648,0.472393,0.037286,0.000724,0.000491,0.003681,0.000990,0.403574,0.413822,0.001000,0.999999,0.001743
0.142006,0.104623,0.001737,0.419998,0.001864,0.030016,0.000843,0.033707,0.001181,0.764264,0.476145,0.001000,1.000000,0.001591
0.049263,0.003611,0.024518,0.291335,0.001276,0.001367,0.002831,0.163160,0.132380,0.483560,0.399992,0.001000,0.999999,0.001798
0.002170,0.000965,0.057255,0.297466,0.053567,0.000823,0.000904,0.336300,0.159835,0.535717,0.319899,0.054039,0.997190,0.104174
0.004875,0.131024,0.001474,0.399560,0.003075,0.004288,0.000834,0.119574,0.002808,0.456125,0.432100,0.001000,0.999999,0.001732
0.001810,0.214698,0.001590,0.293973,0.019611,0.001774,0.002847,0.131019,0.001480,0.355691,0.409121,0.001000,0.999999,0.001815
0.006968,0.006867,0.000587,0.319322,0.003656,0.001794,0.001139,0.009684,0.004517,0.471457,0.414995,0.001000,0.999999,0.001744
0.118221,0.195515,0.000831,0.293940,0.008686,0.007361,0.001283,0.084821,0.050679,0.747484,0.407638,0.001000,0.999999,0.001820
0.109432,0.285790,0.000844,0.408505,0.002841,0.001942,0.000537,0.002942,0.079560,0.411476,0.415534,0.001000,0.999999,0.001781
0.026273,0.157014,0.002996,0.232673,0.001427,0.002071,0.000083,0.150595,0.000569,0.670350,0.385266,0.001000,0.999999,0.001944
0.106605,0.102418,0.007220,0.301360,0.003449,0.005359,0.000666,0.129289,0.000250,0.700195,0.417352,0.001000,0.999999,0.001777
0.009780,0.210170,0.001993,0.179301,0.001501,0.002800,0.000995,0.103396,0.000524,0.591607,0.446097,0.001000,0.999999,0.001662
0.110415,0.005436,0.001893,0.323821,0.004035,0.001450,0.002088,0.168986,0.015148,0.738834,0.439189,0.001000,0.999999,0.001698
0.130929,0.052510,0.001561,0.393267,0.000972,0.001755,0.000980,0.127378,0.001764,0.551490,0.484465,0.001239,0.999999,0.001881
0.366446,0.002766,0.010337,0.498741,0.004784,0.001261,0.000613,0.315050,0.001936,0.645633,0.450077,0.001000,0.999999,0.001692
0.042497,0.237581,0.002342,0.294619,0.004046,0.008491,0.000491,0.153883,0.000533,0.531444,0.470966,0.001000,0.999999,0.001606
0.087391,0.185030,0.164430,0.397066,0.108105,0.000990,0.001046,0.098353,0.056893,0.520024,0.470697,0.006203,0.999975,0.009405
0.002664,0.146232,0.001677,0.273445,0.001846,0.001266,0.001104,0.076696,0.001441,0.651891,0.405232,0.001000,0.999999,0.001834
0.342023,0.244813,0.002157,0.541639,0.234414,0.002192,0.001505,0.197138,0.109972,0.624492,0.466306,0.001000,0.999999,0.001628
0.251001,0.297238,0.001223,0.377093,0.001538,0.059898,0.000748,0.059528,0.140787,0.825564,0.436147,0.001000,0.999999,0.001747
0.180064,0.009214,0.005429,0.306271,0.001747,0.001018,0.000730,0.203262,0.001466,0.579081,0.375713,0.001000,0.999999,0.001947
