alpha_0.00,alpha_0.50,alpha_1.00,beta_0.00,beta_0.50,beta_1.00,gamma_0.00,gamma_0.50,gamma_1.00,kappa,q,r,corr_test,rmse_test
0.207482,0.053079,0.004111,0.514866,0.001048,0.003474,0.000632,0.094029,0.000694,0.525031,0.402656,0.002235,0.999996,0.004097
0.070361,0.066332,0.019789,0.307592,0.001828,0.062773,0.000920,0.104592,0.000924,0.707640,0.505863,0.001000,1.000000,0.001486
0.037187,0.137247,0.000536,0.112891,0.001223,0.078835,0.000847,0.062519,0.002848,0.667188,0.389759,0.001000,0.999999,0.001890
0.019317,0.071051,0.001841,0.522220,0.001892,0.001173,0.000734,0.008481,0.038579,0.245686,0.428531,0.001000,0.999999,0.001720
0.221057,0.132172,0.001156,0.415175,0.000864,0.003072,0.000874,0.089291,0.002435,0.677025,0.415438,0.001464,0.999998,0.002611
0.313092,0.048141,0.003546,0.563676,0.002828,0.002657,0.002623,0.010514,0.001189,0.706170,0.410254,0.001000,0.999999,0.001826
0.239369,0.230783,0.003948,0.307143,0.010400,0.006788,0.000380,0.005262,0.003837,0.920713,0.410193,0.001000,0.999999,0.001824
0.056850,0.004388,0.046250,0.206393,0.002247,0.001501,0.000666,0.282641,0.003367,0.557041,0.412840,0.001000,0.999999,0.001803
0.002547,0.151465,0.000892,0.125553,0.001557,0.011256,0.000703,0.113703,0.158908,0.694679,0.424791,0.001000,0.999999,0.001721
0.139699,0.188425,0.093816,0.556125,0.001045,0.000759,0.000769,0.158296,0.001906,0.575758,0.411316,0.002861,0.999993,0.005302
0.116617,0.012719,0.054379,0.241785,0.003496,0.005331,0.000651,0.062756,0.003964,0.711668,0.352909,0.004127,0.999985,0.008289
0.252647,0.078204,0.006491,0.357243,0.001710,0.001231,0.001455,0.285636,0.283052,0.945760,0.435523,0.001000,0.999999,0.001754
0.020339,0.199713,0.059003,0.442841,0.003406,0.001195,0.000877,0.124969,0.001975,0.625974,0.400185,0.001000,0.999999,0.001914
0.089554,0.140788,0.000981,0.424989,0.002885,0.057521,0.001125,0.037683,0.002540,0.588472,0.416681,0.001000,0.999999,0.001813
0.027732,0.100185,0.001720,0.429656,0.001386,0.001394,0.000679,0.128868,0.062640,0.455012,0.420135,0.001000,0.999999,0.001766
0.009604,0.313393,0.003969,0.337226,0.002212,0.001053,0.000646,0.171269,0.001226,0.709738,0.440425,0.001875,0.999997,0.003347
0.197710,0.009364,0.002335,0.301258,0.001979,0.044679,0.001133,0.171683,0.014601,0.750731,0.404739,0.001000,0.999999,0.001831
0.120381,0.198178,0.001517,0.355704,0.004411,0.000811,0.003321,0.039453,0.001424,0.521371,0.369133,0.001000,0.999999,0.001988
0.002627,0.027567,0.045123,0.296236,0.039548,0.000683,0.000587,0.000814,0.003104,0.336922,0.390647,0.008979,0.999928,0.015786
0.218954,0.019230,0.002900,0.425627,0.001151,0.000976,0.000757,0.130258,0.056536,0.797442,0.446006,0.001000,0.999999,0.001667
0.096750,0.148895,0.034288,0.362462,0.001452,0.000776,0.001925,0.172852,0.002220,0.399133,0.404270,0.001001,0.999999,0.001835
